,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
1366,Marc-Oliver Kempf,de GER,DF,Stuttgart,de Bundesliga,26,1995,12,10,840,9.3,3,0,3,0,0,2,0,0.32,0.00,0.32,0.32,0.32,1.0,1.0,0.5,1.6,0.11,0.06,0.17,0.11,0.17,Matches,815c314f
1367,Marc-Oliver Kempf,de GER,DF,Hertha BSC,de Bundesliga,26,1995,12,12,1051,11.7,0,1,0,0,0,1,1,0.00,0.09,0.09,0.00,0.09,0.6,0.6,0.4,1.0,0.05,0.03,0.08,0.05,0.08,Matches,815c314f
1368,Kenedy,br BRA,DF,Chelsea,eng Premier League,25,1996,1,1,58,0.6,0,1,0,0,0,0,0,0.00,1.55,1.55,0.00,1.55,0.1,0.1,0.9,1.0,0.13,1.35,1.48,0.13,1.48,Matches,5eebbfdf
1369,Jonjoe Kenny,eng ENG,DF,Everton,eng Premier League,24,1997,15,11,1018,11.3,0,1,0,0,0,3,1,0.00,0.09,0.09,0.00,0.09,0.3,0.3,0.5,0.9,0.03,0.05,0.08,0.03,0.08,Matches,099e666f
1370,Dimitrios Keramitsis,gr GRE,DF,Roma,it Serie A,17,2004,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,6f30a1d5
1371,Franck Kessié,ci CIV,MF,Milan,it Serie A,24,1996,31,25,2308,25.6,6,0,4,2,3,2,0,0.23,0.00,0.23,0.16,0.16,4.4,2.1,1.5,3.6,0.17,0.06,0.23,0.08,0.14,Matches,05e19d6a
1372,Saîf-Eddine Khaoui,tn TUN,MFFW,Clermont Foot,fr Ligue 1,26,1995,23,9,927,10.3,1,0,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,2.1,2.1,1.0,3.0,0.20,0.10,0.30,0.20,0.30,Matches,796b1c41
1373,Wahbi Khazri,tn TUN,FWMF,Saint-Étienne,fr Ligue 1,30,1991,30,26,2225,24.7,10,0,6,4,4,6,0,0.40,0.00,0.40,0.24,0.24,8.9,5.8,3.1,9.0,0.36,0.13,0.49,0.24,0.36,Matches,2677a1de
1374,Rani Khedira,de GER,MF,Union Berlin,de Bundesliga,27,1994,32,32,2757,30.6,0,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03,1.2,1.2,0.4,1.6,0.04,0.01,0.05,0.04,0.05,Matches,59e4b92e
1375,Kike,es ESP,FW,Osasuna,es La Liga,31,1989,33,18,1862,20.7,5,1,4,1,1,2,0,0.24,0.05,0.29,0.19,0.24,7.0,6.2,2.1,8.3,0.34,0.10,0.44,0.30,0.40,Matches,e897d8ba
1376,Luca Kilian,de GER,DF,Köln,de Bundesliga,21,1999,30,25,2281,25.3,1,0,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,1.1,1.1,0.2,1.3,0.04,0.01,0.05,0.04,0.05,Matches,610aa1e9
1377,Luca Kilian,de GER,FW,Mainz 05,de Bundesliga,21,1999,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,610aa1e9
1378,Max Kilman,eng ENG,DF,Wolves,eng Premier League,24,1997,30,30,2687,29.9,1,0,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03,1.0,1.0,0.0,1.0,0.03,0.00,0.03,0.03,0.03,Matches,d0f72bf1
1379,Joshua Kimmich,de GER,MF,Bayern Munich,de Bundesliga,26,1995,28,28,2474,27.5,3,9,3,0,0,4,0,0.11,0.33,0.44,0.11,0.44,2.1,2.1,9.2,11.2,0.08,0.33,0.41,0.08,0.41,Matches,49296448
1380,Presnel Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,25,1995,30,29,2576,28.6,1,0,1,0,0,6,0,0.03,0.00,0.03,0.03,0.03,0.9,0.9,0.1,1.0,0.03,0.00,0.03,0.03,0.03,Matches,aef6e670
1381,Joshua King,no NOR,FW,Watford,eng Premier League,29,1992,32,27,2248,25.0,5,3,4,1,1,5,0,0.20,0.12,0.32,0.16,0.28,8.0,7.2,3.2,10.4,0.32,0.13,0.45,0.29,0.42,Matches,43458538
1382,Jakub Kiwior,pl POL,MF,Spezia,it Serie A,21,2000,22,21,1964,21.8,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.02,0.01,0.03,0.02,0.03,Matches,dc3e663e
1383,Sofian Kiyine,ma MAR,MFFW,Venezia,it Serie A,23,1997,26,14,1239,13.8,1,0,1,0,1,8,1,0.07,0.00,0.07,0.07,0.07,1.7,0.7,2.3,3.0,0.12,0.17,0.29,0.05,0.22,Matches,ce1806be
1384,Simon Kjær,dk DEN,DF,Milan,it Serie A,32,1989,11,10,802,8.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.3,1.0,0.07,0.04,0.11,0.07,0.11,Matches,8b8a56ce
1385,Kristoffer Klaesson,no NOR,GK,Leeds United,eng Premier League,20,2000,1,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,3f70db80
1386,Philipp Klement,de GER,MFFW,Stuttgart,de Bundesliga,28,1992,6,3,338,3.8,1,0,1,0,0,0,0,0.27,0.00,0.27,0.27,0.27,0.3,0.3,0.9,1.2,0.08,0.25,0.32,0.08,0.32,Matches,0cddeaa7
1387,Mateusz Klich,pl POL,MF,Leeds United,eng Premier League,31,1990,33,26,2073,23.0,1,2,1,0,0,5,0,0.04,0.09,0.13,0.04,0.13,2.7,2.7,2.2,4.9,0.12,0.09,0.21,0.12,0.21,Matches,282679b4
1388,Thibault Klidje,tg TOG,DFFW,Bordeaux,fr Ligue 1,20,2001,5,0,86,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.7,0.7,0.02,0.75,0.77,0.02,0.77,Matches,db013c7d
1389,Mateo Klimowicz,de GER,FWMF,Stuttgart,de Bundesliga,21,2000,15,7,603,6.7,0,1,0,0,0,2,0,0.00,0.15,0.15,0.00,0.15,0.9,0.9,0.5,1.4,0.13,0.07,0.21,0.13,0.21,Matches,2b7c56b4
1390,Fabian Klos,de GER,FW,Arminia,de Bundesliga,33,1987,25,14,1420,15.8,3,1,1,2,2,2,1,0.19,0.06,0.25,0.06,0.13,5.0,3.5,1.3,4.8,0.32,0.09,0.40,0.22,0.30,Matches,e21042ae
1391,Lukas Klostermann,de GER,DF,RB Leipzig,de Bundesliga,25,1996,23,17,1648,18.3,0,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,0.3,0.3,0.3,0.5,0.01,0.01,0.03,0.01,0.03,Matches,ca8033cb
1392,Justin Kluivert,nl NED,MF,Nice,fr Ligue 1,22,1999,27,24,1868,20.8,4,5,4,0,0,6,1,0.19,0.24,0.43,0.19,0.43,3.3,3.3,4.4,7.6,0.16,0.21,0.37,0.16,0.37,Matches,4c3a6744
1393,Lukas Klünter,de GER,DF,Hertha BSC,de Bundesliga,25,1996,5,2,194,2.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.15,0.15,0.00,0.15,Matches,92948149
1394,Ansgar Knauff,de GER,FWMF,Dortmund,de Bundesliga,19,2002,5,0,114,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.07,0.11,0.18,0.07,0.18,Matches,19a967ab
1395,Ansgar Knauff,de GER,DF,Eint Frankfurt,de Bundesliga,19,2002,12,8,759,8.4,1,1,1,0,0,0,0,0.12,0.12,0.24,0.12,0.24,0.5,0.5,1.0,1.6,0.06,0.12,0.19,0.06,0.19,Matches,19a967ab
1396,Robin Knoche,de GER,DF,Union Berlin,de Bundesliga,29,1992,33,33,2970,33.0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.01,0.01,0.02,0.01,0.02,Matches,6bd5cd5d
1397,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,23,1997,29,29,2565,28.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,cd59b9df
1398,Robin Koch,de GER,MFDF,Leeds United,eng Premier League,25,1996,20,17,1574,17.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.5,1.3,0.04,0.03,0.07,0.04,0.07,Matches,ea6bc03a
1399,Samuel Koeberlé,fr FRA,MF,Reims,fr Ligue 1,16,2004,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,6751b938
1400,Philippe Koffi,fr FRA,FW,Reims,fr Ligue 1,19,2002,10,3,375,4.2,1,0,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,0.8,0.8,0.2,1.0,0.19,0.05,0.24,0.19,0.24,Matches,9f1c2822
1401,Dominik Kohr,de GER,MF,Mainz 05,de Bundesliga,27,1994,22,19,1614,17.9,0,3,0,0,0,10,2,0.00,0.17,0.17,0.00,0.17,1.2,1.2,1.6,2.8,0.07,0.09,0.16,0.07,0.16,Matches,0fbecd11
1402,Koba Koindredi,fr FRA,MF,Valencia,es La Liga,19,2001,10,1,181,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.04,0.05,0.01,0.05,Matches,3a58d075
1403,Koke,es ESP,MF,Atlético Madrid,es La Liga,29,1992,31,29,2508,27.9,1,2,1,0,0,6,0,0.04,0.07,0.11,0.04,0.11,1.0,1.0,1.9,2.9,0.04,0.07,0.10,0.04,0.10,Matches,55126f3b
1404,Aleksandr Kokorin,ru RUS,FWMF,Fiorentina,it Serie A,30,1991,6,0,55,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,fec5accc
1405,Aleksandar Kolarov,rs SRB,DF,Inter,it Serie A,35,1985,3,0,42,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.05,0.00,0.05,0.05,0.05,Matches,eda40760
1406,Sead Kolašinac,ba BIH,DF,Marseille,fr Ligue 1,28,1993,14,6,440,4.9,0,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,0.0,0.0,0.2,0.2,0.00,0.04,0.04,0.00,0.04,Matches,3935e52e
1407,Sead Kolašinac,ba BIH,DF,Arsenal,eng Premier League,28,1993,2,1,91,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,3935e52e
1408,Luca Koleosho,ca CAN,FW,Espanyol,es La Liga,16,2004,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,fc076f78
1409,Randal Kolo Muani,fr FRA,FWMF,Nantes,fr Ligue 1,22,1998,36,34,2948,32.8,12,4,12,0,0,2,0,0.37,0.12,0.49,0.37,0.49,9.9,9.9,4.5,14.4,0.30,0.14,0.44,0.30,0.44,Matches,c0b3669f
1410,Timothée Kolodziejczak,fr FRA,DF,Saint-Étienne,fr Ligue 1,29,1991,30,30,2565,28.5,2,3,2,0,0,4,1,0.07,0.11,0.18,0.07,0.18,1.9,1.9,1.6,3.5,0.07,0.06,0.12,0.07,0.12,Matches,ab096c6f
1411,Ghislain Konan,ci CIV,DF,Reims,fr Ligue 1,25,1995,28,28,2418,26.9,1,3,1,0,0,1,0,0.04,0.11,0.15,0.04,0.15,0.5,0.5,2.7,3.2,0.02,0.10,0.12,0.02,0.12,Matches,6b2c894b
1412,Ibrahima Konaté,fr FRA,DF,Liverpool,eng Premier League,22,1999,11,11,990,11.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.02,0.01,0.03,0.02,0.03,Matches,5ed9b537
1413,Geoffrey Kondogbia,cf CTA,MFDF,Atlético Madrid,es La Liga,28,1993,28,21,1882,20.9,1,2,1,0,0,13,2,0.05,0.10,0.14,0.05,0.14,0.5,0.5,1.0,1.4,0.02,0.05,0.07,0.02,0.07,Matches,cce181df
1414,Ibrahima Koné,ml MLI,FW,Lorient,fr Ligue 1,22,1999,16,6,732,8.1,5,1,5,0,0,2,0,0.61,0.12,0.74,0.61,0.74,2.9,2.9,2.1,5.1,0.36,0.26,0.62,0.36,0.62,Matches,04bb2b06
1415,Kouadio Koné,fr FRA,MF,M'Gladbach,de Bundesliga,20,2001,27,26,2183,24.3,2,0,2,0,0,10,0,0.08,0.00,0.08,0.08,0.08,1.6,1.6,0.7,2.3,0.07,0.03,0.09,0.07,0.09,Matches,86574238
1416,Youssouf Koné,ml MLI,DF,Troyes,fr Ligue 1,26,1995,21,11,980,10.9,0,1,0,0,0,2,1,0.00,0.09,0.09,0.00,0.09,0.2,0.2,1.0,1.2,0.02,0.09,0.11,0.02,0.11,Matches,e6eadfb8
1417,Ezri Konsa,eng ENG,DF,Aston Villa,eng Premier League,23,1997,29,29,2477,27.5,2,0,2,0,0,6,2,0.07,0.00,0.07,0.07,0.07,1.5,1.5,0.3,1.7,0.05,0.01,0.06,0.05,0.06,Matches,0313a347
1418,Teun Koopmeiners,nl NED,MF,Atalanta,it Serie A,23,1998,30,23,2126,23.6,4,1,4,0,0,4,0,0.17,0.04,0.21,0.17,0.21,2.2,2.2,4.9,7.1,0.09,0.21,0.30,0.09,0.30,Matches,a26fb8aa
1419,Laurent Koscielny,fr FRA,DF,Bordeaux,fr Ligue 1,35,1985,11,11,933,10.4,0,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches,f5efb153
1420,Odilon Kossonou,ci CIV,DF,Leverkusen,de Bundesliga,20,2001,27,20,1793,19.9,0,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,0.1,0.1,0.7,0.8,0.01,0.03,0.04,0.01,0.04,Matches,1f3afdcb
1421,Filip Kostić,rs SRB,DFFW,Eint Frankfurt,de Bundesliga,28,1992,31,28,2522,28.0,4,9,4,0,0,2,0,0.14,0.32,0.46,0.14,0.46,2.8,2.8,9.8,12.7,0.10,0.35,0.45,0.10,0.45,Matches,b1cd37e6
1422,Rominigue Kouamé,ml MLI,MF,Troyes,fr Ligue 1,24,1996,34,34,2968,33.0,1,2,1,0,0,5,0,0.03,0.06,0.09,0.03,0.09,2.6,2.6,2.0,4.6,0.08,0.06,0.14,0.08,0.14,Matches,86a2ba20
1423,Kalidou Koulibaly,sn SEN,DF,Napoli,it Serie A,30,1991,27,27,2405,26.7,3,1,3,0,0,5,1,0.11,0.04,0.15,0.11,0.15,1.7,1.7,0.5,2.2,0.07,0.02,0.08,0.07,0.08,Matches,da974c7b
1424,Jules Koundé,fr FRA,DF,Sevilla,es La Liga,22,1998,32,31,2736,30.4,2,1,2,0,0,2,2,0.07,0.03,0.10,0.07,0.10,1.2,1.2,1.9,3.1,0.04,0.06,0.10,0.04,0.10,Matches,4d1666ff
1425,Christos Kourfalidis,gr GRE,MFDF,Cagliari,it Serie A,18,2002,2,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,1.06,0.00,1.06,1.06,1.06,Matches,5c522c88
1426,Boubakar Kouyaté,ml MLI,DF,Metz,fr Ligue 1,24,1997,30,30,2665,29.6,1,0,1,0,0,8,1,0.03,0.00,0.03,0.03,0.03,1.8,1.8,0.1,1.9,0.06,0.00,0.06,0.06,0.06,Matches,562a4799
1427,Cheikhou Kouyaté,sn SEN,MF,Crystal Palace,eng Premier League,31,1989,27,23,1974,21.9,0,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,0.6,0.6,0.7,1.3,0.03,0.03,0.06,0.03,0.06,Matches,8d3c902d
1428,Mateo Kovačić,hr CRO,MF,Chelsea,eng Premier League,27,1994,25,16,1558,17.3,2,5,2,0,0,4,0,0.12,0.29,0.40,0.12,0.40,1.8,1.8,3.6,5.5,0.11,0.21,0.32,0.11,0.32,Matches,79c0821a
1429,Viktor Kovalenko,ua UKR,MF,Spezia,it Serie A,25,1996,26,16,1325,14.7,1,3,1,0,0,4,0,0.07,0.20,0.27,0.07,0.27,0.3,0.3,1.3,1.6,0.02,0.09,0.11,0.02,0.11,Matches,9d60028d
1430,Emil Krafth,se SWE,DF,Newcastle Utd,eng Premier League,26,1994,20,18,1634,18.2,0,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,0.2,0.2,0.8,1.0,0.01,0.04,0.06,0.01,0.06,Matches,77cf6852
1431,Alex Král,cz CZE,MF,West Ham,eng Premier League,23,1998,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e717705a
1432,Andrej Kramarić,hr CRO,FWMF,Hoffenheim,de Bundesliga,30,1991,32,30,2707,30.1,6,9,6,0,0,2,0,0.20,0.30,0.50,0.20,0.50,11.5,11.5,6.3,17.9,0.38,0.21,0.59,0.38,0.59,Matches,603cb947
1433,Christoph Kramer,de GER,MF,M'Gladbach,de Bundesliga,30,1991,18,7,748,8.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.02,0.03,0.05,0.02,0.05,Matches,496aeede
1434,Jean-Philippe Krasso,fr FRA,FW,Saint-Étienne,fr Ligue 1,24,1997,16,5,453,5.0,1,1,1,0,0,0,0,0.20,0.20,0.40,0.20,0.40,1.6,1.6,0.6,2.1,0.31,0.11,0.42,0.31,0.42,Matches,037f2523
1435,Julian Kristoffersen,no NOR,FW,Salernitana,it Serie A,24,1997,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.61,0.00,0.61,0.61,0.61,Matches,b804c280
1436,Toni Kroos,de GER,MF,Real Madrid,es La Liga,31,1990,28,25,2103,23.4,1,3,1,0,0,4,0,0.04,0.13,0.17,0.04,0.17,2.0,2.0,3.5,5.5,0.08,0.15,0.23,0.08,0.23,Matches,6ce1f46f
1437,Florian Krüger,de GER,FWMF,Arminia,de Bundesliga,22,1999,27,12,1129,12.5,1,2,1,0,0,0,0,0.08,0.16,0.24,0.08,0.24,1.4,1.4,1.6,3.0,0.11,0.13,0.24,0.11,0.24,Matches,f9f92b5f
1438,Tim Krul,nl NED,GK,Norwich City,eng Premier League,33,1988,29,29,2610,29.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.01,0.01,0.00,0.01,Matches,f23f9d20
1439,Rade Krunić,ba BIH,MFFW,Milan,it Serie A,27,1993,28,15,1416,15.7,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,0.9,0.9,0.9,1.8,0.06,0.05,0.11,0.06,0.11,Matches,817c6964
1440,Max Kruse,de GER,FWMF,Wolfsburg,de Bundesliga,33,1988,14,14,1128,12.5,7,1,5,2,2,0,0,0.56,0.08,0.64,0.40,0.48,5.1,3.6,2.0,5.6,0.41,0.16,0.57,0.29,0.45,Matches,f9446dcd
1441,Max Kruse,de GER,FWMF,Union Berlin,de Bundesliga,33,1988,16,16,1270,14.1,5,4,2,3,3,1,0,0.35,0.28,0.64,0.14,0.43,4.9,2.6,3.4,6.0,0.35,0.24,0.59,0.18,0.43,Matches,f9446dcd
1442,Lukas Kübler,de GER,DF,Freiburg,de Bundesliga,28,1992,29,27,2327,25.9,2,0,2,0,0,2,0,0.08,0.00,0.08,0.08,0.08,1.2,1.2,0.9,2.1,0.05,0.04,0.08,0.05,0.08,Matches,2a29eb9b
1443,Takefusa Kubo,jp JPN,FWMF,Mallorca,es La Liga,20,2001,28,17,1605,17.8,1,0,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,3.1,3.1,2.6,5.7,0.17,0.15,0.32,0.17,0.32,Matches,16aa3654
1444,Juraj Kucka,sk SVK,MF,Watford,eng Premier League,34,1987,26,22,1920,21.3,1,1,1,0,0,5,1,0.05,0.05,0.09,0.05,0.09,3.1,3.1,0.9,4.1,0.15,0.04,0.19,0.15,0.19,Matches,5aaef9ef
1445,Mykola Kukharevych,ua UKR,FW,Troyes,fr Ligue 1,20,2001,2,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.45,0.00,0.45,0.45,0.45,Matches,8197a269
1446,Dejan Kulusevski,se SWE,MFFW,Tottenham,eng Premier League,21,2000,18,14,1261,14.0,5,8,5,0,0,3,0,0.36,0.57,0.93,0.36,0.93,3.4,3.4,3.5,6.9,0.24,0.25,0.50,0.24,0.50,Matches,df3cda47
1447,Dejan Kulusevski,se SWE,FWMF,Juventus,it Serie A,21,2000,20,5,772,8.6,1,3,1,0,0,1,0,0.12,0.35,0.47,0.12,0.47,1.9,1.9,1.2,3.1,0.22,0.14,0.37,0.22,0.37,Matches,df3cda47
1448,Marash Kumbulla,al ALB,DF,Roma,it Serie A,21,2000,17,13,1025,11.4,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.8,0.07,0.00,0.07,0.07,0.07,Matches,a40819d9
1449,Fabian Kunze,de GER,MF,Arminia,de Bundesliga,23,1998,22,13,1260,14.0,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.02,0.01,0.04,0.02,0.04,Matches,d25fee56
1450,Enock Kwateng,fr FRA,DF,Bordeaux,fr Ligue 1,24,1997,29,22,2002,22.2,1,0,1,0,0,6,1,0.04,0.00,0.04,0.04,0.04,0.4,0.4,1.1,1.5,0.02,0.05,0.07,0.02,0.07,Matches,4bf69118
1451,Grejohn Kyei,fr FRA,FW,Clermont Foot,fr Ligue 1,25,1995,14,4,396,4.4,0,1,0,0,0,1,0,0.00,0.23,0.23,0.00,0.23,1.6,1.6,1.0,2.6,0.36,0.23,0.58,0.36,0.58,Matches,397ba086
1452,Giorgos Kyriakopoulos,gr GRE,DFFW,Sassuolo,it Serie A,25,1996,29,22,1975,21.9,0,5,0,0,0,6,1,0.00,0.23,0.23,0.00,0.23,0.9,0.9,3.2,4.2,0.04,0.15,0.19,0.04,0.19,Matches,0a483542
1453,Andrea La Mantia,it ITA,FW,Empoli,it Serie A,30,1991,18,3,488,5.4,2,0,2,0,0,0,0,0.37,0.00,0.37,0.37,0.37,1.9,1.9,0.3,2.2,0.35,0.06,0.41,0.35,0.41,Matches,c375dfa5
1454,Gaëtan Laborde,fr FRA,FW,Rennes,fr Ligue 1,27,1994,34,32,2729,30.3,12,8,10,2,2,1,0,0.40,0.26,0.66,0.33,0.59,15.3,13.7,4.1,17.8,0.50,0.13,0.64,0.45,0.59,Matches,7cdda3bf
1455,Gaëtan Laborde,fr FRA,FW,Montpellier,fr Ligue 1,27,1994,4,4,341,3.8,3,0,3,0,0,1,0,0.79,0.00,0.79,0.79,0.79,1.8,1.8,0.5,2.3,0.48,0.12,0.59,0.48,0.59,Matches,7cdda3bf
1456,Alexandre Lacazette,fr FRA,FWMF,Arsenal,eng Premier League,30,1991,30,20,1782,19.8,4,7,2,2,3,0,0,0.20,0.35,0.56,0.10,0.45,7.9,5.6,1.9,7.6,0.40,0.10,0.50,0.28,0.38,Matches,9dbb75ca
1457,Tom Lacoux,fr FRA,DFMF,Bordeaux,fr Ligue 1,19,2002,13,11,907,10.1,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.04,0.04,0.00,0.04,Matches,295ba708
1458,Lenny Lacroix,fr FRA,DF,Metz,fr Ligue 1,18,2003,3,2,200,2.2,0,1,0,0,0,0,0,0.00,0.45,0.45,0.00,0.45,0.1,0.1,0.0,0.1,0.05,0.01,0.06,0.05,0.06,Matches,5413ef36
1459,Maxence Lacroix,fr FRA,DF,Wolfsburg,de Bundesliga,21,2000,29,29,2491,27.7,0,0,0,0,0,5,3,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.6,1.8,0.04,0.02,0.06,0.04,0.06,Matches,277c49ed
1460,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,22,1999,38,38,3420,38.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,4e7db402
1461,Víctor Laguardia,es ESP,DF,Alavés,es La Liga,31,1989,34,34,3042,33.8,3,2,3,0,0,9,0,0.09,0.06,0.15,0.09,0.15,1.9,1.9,0.2,2.1,0.06,0.00,0.06,0.06,0.06,Matches,b7c99b9b
1462,Konrad Laimer,at AUT,MF,RB Leipzig,de Bundesliga,24,1997,26,15,1240,13.8,4,4,4,0,0,2,0,0.29,0.29,0.58,0.29,0.58,2.3,2.3,1.8,4.1,0.17,0.13,0.30,0.17,0.30,Matches,c1b7847c
1463,Stefan Lainer,at AUT,DF,M'Gladbach,de Bundesliga,28,1992,21,19,1471,16.3,1,2,1,0,0,2,0,0.06,0.12,0.18,0.06,0.18,0.6,0.6,2.5,3.1,0.04,0.15,0.19,0.04,0.19,Matches,4aea5077
1464,Diego Lainez,mx MEX,FW,Betis,es La Liga,21,2000,7,1,140,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.03,0.13,0.16,0.03,0.16,Matches,bf12926c
1465,Adam Lallana,eng ENG,MF,Brighton,eng Premier League,33,1988,24,18,1561,17.3,0,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,1.2,1.2,0.7,1.9,0.07,0.04,0.11,0.07,0.11,Matches,99813635
1466,Vassilis Lambropoulos,gr GRE,DF,Bochum,de Bundesliga,31,1990,13,13,1168,13.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.01,0.00,0.01,0.01,0.01,Matches,591477c9
1467,Érik Lamela,ar ARG,FW,Sevilla,es La Liga,29,1992,20,10,1015,11.3,5,2,5,0,0,5,0,0.44,0.18,0.62,0.44,0.62,2.7,2.7,1.9,4.6,0.24,0.17,0.41,0.24,0.41,Matches,abe66106
1468,Didier Lamkel Zé,cm CMR,FW,Metz,fr Ligue 1,24,1996,9,8,605,6.7,3,0,3,0,0,2,0,0.45,0.00,0.45,0.45,0.45,2.2,2.2,0.2,2.5,0.33,0.03,0.37,0.33,0.37,Matches,b229aa13
1469,Sam Lammers,nl NED,FW,Eint Frankfurt,de Bundesliga,24,1997,15,5,517,5.7,1,0,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,1.2,1.2,0.4,1.6,0.22,0.07,0.29,0.22,0.29,Matches,c283ddef
