,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Height,,,Body Parts,,,,,Outcomes,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
378,Jacob Bruun Larsen,dk DEN,FW,Hoffenheim,de Bundesliga,21,1998,1.0,19,19,0,0,0,4,0,1,0,0,0,0,15,3,1,5,12,1,0,0,15,0,2,0,1,Matches
379,Bryan,es ESP,FW,Sevilla,es La Liga,19,2001,0.1,7,7,0,0,0,1,0,0,0,0,0,0,5,1,1,6,0,0,0,0,5,0,0,0,1,Matches
380,Bryan,es ESP,MFFW,Eibar,es La Liga,19,2001,25.2,1018,919,99,24,3,156,54,110,51,22,26,2,656,149,213,901,56,25,24,3,695,2,23,33,57,Matches
381,Joe Bryan,eng ENG,DFFW,Fulham,eng Premier League,26,1993,7.4,420,332,88,16,1,47,12,24,8,1,5,2,221,89,110,275,62,15,64,0,295,2,7,11,21,Matches
382,Kean Bryan,eng ENG,DF,Sheffield Utd,eng Premier League,23,1996,11.2,443,421,22,4,0,54,15,15,0,0,0,0,257,48,138,373,19,25,18,0,323,1,12,14,11,Matches
383,Lucas Buadés,fr FRA,MF,Nîmes,fr Ligue 1,22,1997,0.2,5,4,1,0,0,3,0,0,1,0,1,0,4,0,1,0,5,0,0,0,2,0,0,0,0,Matches
384,Ante Budimir,hr CRO,FW,Osasuna,es La Liga,29,1991,18.1,400,377,23,1,0,169,3,5,0,0,0,0,196,102,102,202,37,40,3,18,251,3,11,22,14,Matches
385,Gianluigi Buffon,it ITA,GK,Juventus,it Serie A,42,1978,8.0,304,234,70,8,0,38,5,0,0,0,0,0,209,14,81,20,240,0,0,44,258,1,2,0,0,Matches
386,Marius Bülter,de GER,FWMF,Union Berlin,de Bundesliga,27,1993,10.9,321,305,16,0,0,61,9,26,1,0,0,0,200,72,49,93,188,14,12,4,199,3,10,9,33,Matches
387,Alessandro Buongiorno,it ITA,DF,Torino,it Serie A,21,1999,9.5,423,397,26,20,1,30,7,0,0,0,0,0,322,38,63,321,69,17,6,1,360,0,10,7,9,Matches
388,Esteban Burgos,ar ARG,DF,Eibar,es La Liga,28,1992,12.3,547,524,23,23,0,51,43,0,0,0,0,0,312,62,173,56,402,66,0,3,417,3,13,3,5,Matches
389,Burgui,es ESP,MF,Alavés,es La Liga,26,1993,0.2,9,9,0,0,0,1,0,0,0,0,0,0,7,0,2,2,6,0,0,0,8,1,0,0,0,Matches
390,Jonathan Burkardt,de GER,FWDF,Mainz 05,de Bundesliga,20,2000,15.3,400,359,41,1,0,90,4,12,0,0,0,0,265,76,59,66,271,17,29,4,283,3,4,7,22,Matches
391,Nishan Burkart,ch SUI,MF,Freiburg,de Bundesliga,20,2000,0.2,6,6,0,0,0,2,0,0,0,0,0,0,5,1,0,1,4,0,0,0,4,0,0,0,1,Matches
392,Oliver Burke,sct SCO,FW,Sheffield Utd,eng Premier League,23,1997,14.1,262,249,13,0,1,86,2,20,0,0,0,0,185,41,36,11,206,19,0,2,185,0,10,10,16,Matches
393,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,29,1990,18.5,629,500,129,19,0,41,18,0,0,0,0,0,421,31,177,151,367,0,1,106,515,0,13,0,2,Matches
394,Dan Burn,eng ENG,DF,Brighton,eng Premier League,28,1992,22.9,1242,1092,150,11,0,173,20,32,1,1,0,0,748,212,282,822,122,85,138,4,952,4,36,30,33,Matches
395,Patrick Burner,mq MTQ,DF,Nice,fr Ligue 1,24,1996,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
396,Patrick Burner,mq MTQ,DF,Nîmes,fr Ligue 1,24,1996,14.6,676,515,161,10,1,52,12,22,0,0,0,0,366,165,145,52,447,18,151,1,526,1,18,9,17,Matches
397,Maxime Busi,be BEL,DF,Parma,it Serie A,20,1999,13.3,789,674,115,8,2,57,18,20,0,0,0,0,499,135,155,91,571,14,107,1,658,4,12,16,16,Matches
398,Sergio Busquets,es ESP,MF,Barcelona,es La Liga,32,1988,28.0,2715,2604,111,108,15,308,45,3,0,0,0,0,2239,208,268,411,2202,57,3,11,2484,7,22,58,18,Matches
399,Jack Butland,eng ENG,GK,Crystal Palace,eng Premier League,27,1993,1.0,21,10,11,3,0,1,0,0,0,0,0,0,3,0,18,0,16,0,0,2,6,1,0,0,0,Matches
400,David Button,eng ENG,GK,West Brom,eng Premier League,31,1989,1.0,37,22,15,3,0,2,2,0,0,0,0,0,7,0,30,3,27,0,0,2,16,0,3,0,0,Matches
401,Oskar Buur,dk DEN,DF,Wolves,eng Premier League,22,1998,0.2,15,14,1,0,0,0,0,0,0,0,0,0,13,1,1,0,14,0,1,0,14,0,0,0,0,Matches
402,Marcin Bułka,pl POL,GK,Paris S-G,fr Ligue 1,20,1999,1.0,30,28,2,0,0,3,0,0,0,0,0,0,24,1,5,8,13,0,0,9,25,1,0,1,0,Matches
403,Erick Cabaco,uy URU,DF,Getafe,es La Liga,25,1995,14.7,439,386,53,37,0,55,54,3,0,0,0,0,188,53,198,53,306,37,16,0,297,3,24,5,9,Matches
404,Willy Caballero,ar ARG,GK,Chelsea,eng Premier League,38,1981,1.0,26,19,7,1,0,1,0,0,0,0,0,0,21,2,3,3,21,0,0,2,24,0,0,0,0,Matches
405,Jimmy Cabot,fr FRA,FWMF,Angers,fr Ligue 1,26,1994,10.5,428,414,14,2,2,58,12,21,9,5,1,0,315,60,53,69,349,6,3,0,319,0,6,17,16,Matches
406,Martín Cáceres,uy URU,DF,Fiorentina,it Serie A,33,1987,24.9,1037,892,145,46,0,81,41,31,1,0,0,0,608,162,267,233,640,50,98,8,824,3,16,12,32,Matches
407,Anthony Caci,fr FRA,DF,Strasbourg,fr Ligue 1,23,1997,31.1,1883,1528,355,40,1,224,103,64,0,0,0,0,985,442,456,496,990,58,315,6,1469,4,32,52,59,Matches
408,Mathieu Cafaro,fr FRA,MFFW,Reims,fr Ligue 1,23,1997,23.0,823,758,65,31,1,96,50,55,31,12,16,3,488,124,211,64,729,17,3,5,513,7,29,44,38,Matches
409,Gary Cahill,eng ENG,DF,Crystal Palace,eng Premier League,34,1985,20.0,697,671,26,26,0,95,12,0,0,0,0,0,483,68,146,94,521,35,0,7,590,2,11,8,5,Matches
410,Yannick Cahuzac,fr FRA,MF,Lens,fr Ligue 1,35,1985,25.0,896,859,37,29,1,123,13,10,1,0,0,0,612,113,171,63,729,64,6,5,755,1,19,11,14,Matches
411,Felipe Caicedo,ec ECU,FW,Lazio,it Serie A,31,1988,10.3,267,259,8,1,0,72,2,0,0,0,0,0,161,63,43,173,44,12,3,15,200,0,5,6,7,Matches
412,Marc-Aurèle Caillard,fr FRA,GK,Metz,fr Ligue 1,26,1994,4.0,101,61,40,10,0,3,0,0,0,0,0,0,47,4,50,4,68,0,0,27,65,1,6,0,1,Matches
413,Tom Cairney,sct SCO,MF,Fulham,eng Premier League,29,1991,8.4,621,586,35,19,0,76,34,18,14,2,9,1,473,51,97,577,32,9,0,2,551,1,6,7,11,Matches
414,Cala,es ESP,DF,Cádiz,es La Liga,30,1989,25.2,688,642,46,45,0,74,63,0,0,0,0,0,355,68,265,80,513,65,1,3,508,1,21,9,7,Matches
415,Arturo Calabresi,it ITA,DFFW,Bologna,it Serie A,24,1996,0.2,6,4,2,0,0,0,0,0,0,0,0,0,1,0,5,1,3,0,2,0,4,0,0,0,0,Matches
416,Arturo Calabresi,it ITA,DF,Cagliari,it Serie A,24,1996,0.2,18,14,4,0,0,2,0,1,0,0,0,0,8,6,4,2,10,2,4,0,14,0,1,0,2,Matches
417,Davide Calabria,it ITA,DF,Milan,it Serie A,23,1996,29.4,1785,1529,256,33,4,133,37,53,1,0,1,0,1078,297,410,124,1368,57,222,3,1396,14,29,37,43,Matches
418,Riccardo Calafiori,it ITA,DF,Roma,it Serie A,18,2002,0.7,45,35,10,2,0,7,0,0,0,0,0,0,34,8,3,29,6,0,8,0,35,0,0,3,4,Matches
419,Mattia Caldara,it ITA,DF,Atalanta,it Serie A,26,1994,1.2,54,52,2,1,0,6,5,1,0,0,0,0,39,7,8,5,46,2,1,0,50,0,0,0,2,Matches
420,Luca Caldirola,it ITA,DF,Benevento,it Serie A,29,1991,17.5,772,711,61,40,0,55,19,3,0,0,0,0,570,67,135,602,108,31,20,2,654,0,12,14,3,Matches
421,Duje Ćaleta-Car,hr CRO,DF,Marseille,fr Ligue 1,23,1996,31.3,1878,1811,67,55,4,117,56,0,0,0,0,0,1426,142,310,520,1221,76,11,7,1632,2,35,16,9,Matches
422,Hakan Çalhanoğlu,tr TUR,MFFW,Milan,it Serie A,26,1994,29.0,1645,1395,250,72,5,209,110,62,150,81,51,5,1137,156,352,128,1456,27,14,10,1273,3,25,39,40,Matches
423,Kerim Calhanoglu,de GER,DF,Schalke 04,de Bundesliga,17,2002,3.3,137,109,28,3,0,22,3,6,0,0,0,0,68,24,45,88,20,3,25,0,88,1,5,3,10,Matches
424,Fabrizio Caligara,it ITA,MF,Cagliari,it Serie A,20,2000,2.0,68,61,7,4,0,13,1,4,1,1,0,0,45,8,15,45,13,4,2,1,53,0,1,1,1,Matches
425,Daniel Caligiuri,it ITA,MFFW,Augsburg,de Bundesliga,32,1988,29.6,1191,952,239,85,2,244,59,41,75,36,25,4,638,219,334,154,909,25,79,6,822,7,22,34,55,Matches
426,José Callejón,es ESP,FWMF,Fiorentina,it Serie A,33,1987,7.4,284,264,20,4,2,41,10,22,1,0,1,0,187,49,48,28,226,10,14,3,211,2,2,7,16,Matches
427,Jonathan Calleri,ar ARG,FW,Osasuna,es La Liga,26,1993,17.2,355,325,30,0,1,121,8,14,0,0,0,0,186,85,84,22,225,34,0,8,218,0,9,12,18,Matches
428,Dominic Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,23,1997,31.9,669,651,18,0,1,224,8,15,2,0,0,0,363,187,119,48,419,52,1,49,479,6,15,20,26,Matches
429,Dani Calvo,es ESP,DF,Elche,es La Liga,26,1994,19.8,743,712,31,28,0,73,28,1,0,0,0,0,549,56,138,133,550,43,3,1,640,1,16,2,9,Matches
430,Drissa Camara,ci CIV,MF,Parma,it Serie A,18,2002,0.2,9,9,0,0,0,1,0,0,0,0,0,0,8,0,1,1,7,0,0,0,7,0,0,0,1,Matches
431,Mahdi Camara,fr FRA,MFDF,Saint-Étienne,fr Ligue 1,22,1998,36.6,1679,1596,83,32,0,246,43,28,2,2,0,0,1290,185,204,52,1474,69,44,6,1449,4,32,25,37,Matches
432,Eduardo Camavinga,fr FRA,MF,Rennes,fr Ligue 1,17,2002,26.7,1621,1585,36,30,3,214,30,4,0,0,0,0,1354,139,128,1433,93,63,6,6,1447,0,15,39,19,Matches
433,José Campaña,es ESP,MF,Levante,es La Liga,27,1993,8.3,504,451,53,20,3,60,18,16,30,11,4,3,352,57,95,66,410,18,3,2,387,5,16,8,18,Matches
434,Emre Can,de GER,DFMF,Dortmund,de Bundesliga,26,1994,23.7,1816,1741,75,46,4,225,60,12,0,0,0,0,1414,172,230,377,1333,36,29,14,1585,2,24,32,18,Matches
435,Sergio Canales,es ESP,MFFW,Betis,es La Liga,29,1991,27.8,1745,1619,126,64,7,282,104,46,42,9,20,3,1275,158,312,1551,153,21,13,1,1478,4,36,32,41,Matches
436,João Cancelo,pt POR,DF,Manchester City,eng Premier League,26,1994,25.5,2094,1861,233,40,10,201,39,69,1,0,0,0,1445,328,321,233,1593,46,192,7,1795,7,23,38,43,Matches
437,Antonio Candreva,it ITA,MF,Sampdoria,it Serie A,33,1987,27.8,1629,1409,220,52,2,201,129,153,102,31,41,12,808,278,543,249,1285,19,66,8,1099,8,25,46,79,Matches
438,Álex Cantero,es ESP,FW,Levante,es La Liga,20,2000,2.6,,,,,,,,1,,,,,,,,,,,,,,,,,,Matches
439,Ander Capa,es ESP,DF,Athletic Club,es La Liga,28,1992,23.7,1201,897,304,24,1,119,20,54,0,0,0,0,615,313,273,80,775,50,280,1,915,4,30,24,53,Matches
440,Pierrick Capelle,fr FRA,MFDF,Angers,fr Ligue 1,33,1987,22.8,1176,1096,80,13,3,215,23,24,9,3,3,1,832,186,158,921,124,38,56,7,966,1,9,32,36,Matches
441,Étienne Capoue,fr FRA,MF,Villarreal,es La Liga,32,1988,13.2,748,729,19,18,2,107,18,0,0,0,0,0,617,61,70,128,579,24,1,0,680,1,7,9,8,Matches
442,Elio Capradossi,it ITA,DF,Spezia,it Serie A,24,1996,1.0,41,38,3,3,0,9,0,0,0,0,0,0,34,3,4,17,22,2,0,0,34,0,1,1,0,Matches
443,Gianluca Caprari,it ITA,MFFW,Benevento,it Serie A,27,1993,20.7,696,576,120,31,2,125,27,32,64,20,29,7,481,72,143,80,591,11,9,3,501,3,8,11,28,Matches
444,Francesco Caputo,it ITA,FW,Sassuolo,it Serie A,32,1987,18.9,421,374,47,0,1,103,2,4,0,0,0,0,318,65,38,75,311,12,0,10,327,0,7,12,15,Matches
445,Maxence Caqueret,fr FRA,MF,Lyon,fr Ligue 1,20,2000,19.6,1085,1067,18,8,2,190,20,12,1,0,0,0,886,100,99,164,874,26,2,8,940,7,7,29,25,Matches
446,Andrea Carboni,it ITA,DF,Cagliari,it Serie A,19,2001,12.1,593,540,53,19,0,51,16,15,0,0,0,0,395,64,134,468,66,14,34,2,466,2,18,19,10,Matches
447,Isaac Carcelen,es ESP,DF,Cádiz,es La Liga,27,1993,28.7,1098,796,302,45,1,156,33,36,18,6,9,2,489,268,341,89,669,75,239,8,782,7,28,32,42,Matches
448,Cárdenas,es ESP,GK,Levante,es La Liga,23,1997,8.0,264,184,80,23,0,27,21,0,0,0,0,0,147,14,103,24,186,0,0,42,197,2,6,2,2,Matches
449,Irvin Cardona,fr FRA,FWMF,Brest,fr Ligue 1,22,1997,22.5,494,445,49,1,1,99,23,36,1,0,1,0,285,118,91,60,372,36,4,7,340,2,18,17,20,Matches
450,Marc Cardona,es ESP,FWMF,Osasuna,es La Liga,25,1995,0.6,28,27,1,0,0,5,0,1,0,0,0,0,12,9,7,7,16,4,1,0,17,1,1,0,2,Matches
451,Ian Carlo Poveda,eng ENG,MFDF,Leeds United,eng Premier League,20,2000,3.9,117,116,1,0,1,24,3,9,0,0,0,0,89,14,14,90,22,4,1,0,86,0,5,5,6,Matches
452,Diego Carlos,br BRA,DF,Sevilla,es La Liga,27,1993,31.0,1919,1872,47,42,1,142,99,3,0,0,0,0,1549,90,280,263,1582,42,2,7,1742,5,32,14,5,Matches
453,Juan Carlos,es ESP,MFFW,Huesca,es La Liga,29,1991,3.2,97,96,1,1,0,25,0,2,0,0,0,0,77,12,8,7,82,3,0,1,73,2,1,0,4,Matches
454,Lionel Carole,fr FRA,DF,Strasbourg,fr Ligue 1,29,1991,14.9,911,755,156,24,1,98,35,35,0,0,0,0,519,156,236,648,80,31,132,1,705,1,18,24,21,Matches
455,Yannick Carrasco,be BEL,DFMF,Atlético Madrid,es La Liga,26,1993,24.2,1048,895,153,46,6,153,34,69,58,31,13,0,753,143,152,119,856,16,49,5,779,6,22,31,42,Matches
456,Sergio Carreira,es ESP,DF,Celta Vigo,es La Liga,19,2000,2.9,118,94,24,0,0,16,2,4,0,0,0,0,66,25,27,7,81,4,24,1,91,0,2,2,7,Matches
457,Guido Carrillo,ar ARG,FW,Elche,es La Liga,29,1991,11.1,317,309,8,1,0,122,6,2,0,0,0,0,156,73,88,18,181,39,0,14,226,1,6,2,8,Matches
458,Andy Carroll,eng ENG,FW,Newcastle Utd,eng Premier League,31,1989,4.4,141,136,5,1,0,49,4,3,0,0,0,0,49,39,53,45,29,23,1,8,89,1,2,1,5,Matches
459,Scott Carson,eng ENG,GK,Manchester City,eng Premier League,34,1985,1.0,16,14,2,0,0,0,0,0,0,0,0,0,12,3,1,0,10,0,0,6,15,0,0,0,0,Matches
460,Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,28,1992,10.6,822,700,122,15,1,62,23,22,0,0,0,0,505,191,126,46,628,26,107,9,700,3,7,14,29,Matches
461,Fabio Carvalho,eng ENG,MFFW,Fulham,eng Premier League,17,2002,2.8,86,80,6,0,0,14,0,2,0,0,0,0,71,7,8,11,70,3,0,2,67,0,2,3,7,Matches
462,William Carvalho,pt POR,MF,Betis,es La Liga,28,1992,13.6,954,931,23,23,2,140,31,2,0,0,0,0,727,96,131,152,757,24,0,1,814,2,10,16,12,Matches
463,Casemiro,br BRA,MF,Real Madrid,es La Liga,28,1992,32.2,1949,1899,50,46,2,295,89,13,0,0,0,0,1371,249,329,225,1550,96,3,19,1632,9,35,30,41,Matches
464,Matty Cash,eng ENG,DF,Aston Villa,eng Premier League,22,1997,26.4,1298,1041,257,33,1,144,30,62,0,0,0,0,663,239,396,108,862,84,224,0,959,3,36,30,24,Matches
465,Kiko Casilla,es ESP,GK,Leeds United,eng Premier League,33,1986,3.0,94,58,36,5,0,4,2,0,0,0,0,0,66,5,23,1,71,0,0,21,82,0,2,3,0,Matches
466,Giuseppe Caso,it ITA,MF,Genoa,it Serie A,21,1998,0.6,17,17,0,0,0,3,0,1,0,0,0,0,10,5,2,1,14,1,0,1,9,0,0,1,4,Matches
467,Moreto Cassamã,gw GNB,MF,Reims,fr Ligue 1,22,1998,22.6,1392,1335,57,51,4,176,78,6,6,1,5,0,1060,141,191,103,1263,19,0,4,1215,3,40,28,9,Matches
468,Francesco Cassata,it ITA,DF,Genoa,it Serie A,23,1997,2.3,93,75,18,0,0,17,5,4,0,0,0,0,56,21,16,4,69,1,18,0,69,0,4,2,6,Matches
469,Timothy Castagne,be BEL,DF,Leicester City,eng Premier League,24,1995,26.1,1512,1331,181,15,5,163,15,37,0,0,0,0,972,261,279,167,1062,91,166,6,1267,4,15,33,43,Matches
470,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,28,1992,32.0,1248,992,256,53,0,83,27,0,0,0,0,0,690,49,509,835,214,0,0,158,939,2,19,3,4,Matches
471,Jean-Charles Castelletto,cm CMR,DF,Nantes,fr Ligue 1,25,1995,21.6,751,695,56,42,0,77,14,2,0,0,0,0,542,62,147,61,605,50,14,1,633,1,15,5,13,Matches
472,Samu Castillejo,es ESP,FW,Milan,it Serie A,25,1995,13.1,463,438,25,9,1,85,13,28,7,2,0,0,357,45,61,378,64,7,9,1,365,2,4,16,18,Matches
473,Gonzalo Castro,de GER,MFFW,Stuttgart,de Bundesliga,33,1987,19.2,905,779,126,47,3,161,30,27,54,14,25,11,612,124,169,105,737,19,25,6,675,4,13,21,45,Matches
474,Jonny Castro,es ESP,DF,Wolves,eng Premier League,26,1994,5.5,239,184,55,3,0,37,3,6,0,0,0,0,128,74,37,44,122,13,52,3,188,0,7,12,10,Matches
475,Gaetano Castrovilli,it ITA,MF,Fiorentina,it Serie A,23,1997,25.9,774,742,32,16,2,143,33,30,6,0,2,4,551,114,109,126,610,11,10,7,598,7,13,13,38,Matches
476,Danilo Cataldi,it ITA,MF,Lazio,it Serie A,25,1994,6.3,432,388,44,19,0,57,19,12,20,12,5,1,294,54,84,85,327,11,3,4,356,1,3,8,5,Matches
477,Ivan Cavaleiro,pt POR,FWMF,Fulham,eng Premier League,26,1993,27.5,833,755,78,26,1,169,31,70,40,10,19,10,550,101,182,108,649,33,7,9,600,3,15,29,36,Matches
478,Edinson Cavani,uy URU,FW,Manchester Utd,eng Premier League,33,1987,15.3,343,330,13,0,2,55,7,5,0,0,0,0,247,47,49,55,269,10,3,5,270,0,5,15,11,Matches
479,Dani Ceballos,es ESP,MF,Arsenal,eng Premier League,23,1996,17.9,1286,1234,52,26,7,151,45,13,17,6,6,2,967,152,167,73,1164,31,8,5,1112,1,17,26,28,Matches
480,Federico Ceccherini,it ITA,DF,Hellas Verona,it Serie A,28,1992,19.3,911,857,54,39,1,119,25,10,0,0,0,0,583,130,198,287,501,60,15,2,745,6,21,15,9,Matches
481,Federico Ceccherini,it ITA,DF,Fiorentina,it Serie A,28,1992,3.0,111,105,6,6,0,11,6,0,0,0,0,0,82,13,16,23,77,8,0,0,97,0,1,1,0,Matches
482,Zeki Çelik,tr TUR,DF,Lille,fr Ligue 1,23,1997,26.5,1657,1359,298,22,0,163,26,46,0,0,0,0,1027,308,322,129,1191,39,275,3,1308,5,22,38,65,Matches
483,Bersant Celina,xk KVX,MFFW,Dijon,fr Ligue 1,23,1996,25.5,1092,954,138,59,10,156,59,48,64,29,29,4,750,117,225,112,935,30,7,5,844,5,16,31,29,Matches
484,Fabien Centonze,fr FRA,DF,Metz,fr Ligue 1,24,1996,35.8,1769,1417,352,24,0,205,27,94,0,0,0,0,1035,369,365,240,1098,68,328,7,1381,2,31,38,55,Matches
485,Luca Ceppitelli,it ITA,DF,Cagliari,it Serie A,30,1989,16.3,812,772,40,28,0,64,22,7,0,0,0,0,564,84,164,116,633,35,11,3,685,2,11,13,11,Matches
486,Alberto Cerri,it ITA,FW,Cagliari,it Serie A,24,1996,4.1,142,136,6,1,1,53,4,2,0,0,0,0,65,48,29,17,78,13,0,9,95,0,6,2,10,Matches
487,Sava Cestic,rs SRB,DF,Köln,de Bundesliga,19,2001,10.0,405,387,18,16,0,38,7,0,0,0,0,0,276,38,91,41,333,25,0,0,307,0,7,7,8,Matches
488,Julian Chabot,de GER,DF,Spezia,it Serie A,22,1998,18.4,1047,971,76,67,0,97,59,2,0,0,0,0,790,88,169,848,109,53,9,1,915,4,29,12,5,Matches
489,Nassim Chadli,fr FRA,FWMF,Nîmes,fr Ligue 1,19,2001,0.3,15,13,2,1,0,4,1,2,1,1,0,0,13,0,2,15,0,0,0,0,12,0,1,0,1,Matches
490,Fouad Chafik,ma MAR,DF,Dijon,fr Ligue 1,33,1986,18.0,1021,830,191,25,0,108,12,31,0,0,0,0,567,225,229,44,765,34,165,2,781,4,16,28,29,Matches
491,Mehdi Chahiri,ma MAR,FWMF,Strasbourg,fr Ligue 1,24,1996,8.9,279,272,7,1,2,68,7,8,1,0,1,0,199,38,42,21,232,8,4,3,201,1,8,9,14,Matches
492,Sofian Chakla,ma MAR,DF,Villarreal,es La Liga,26,1993,0.1,7,6,1,1,0,1,0,0,0,0,0,0,3,0,4,1,6,0,0,0,4,0,0,0,0,Matches
493,Sofian Chakla,ma MAR,DF,Getafe,es La Liga,26,1993,10.0,207,194,13,10,0,26,8,0,0,0,0,0,105,24,78,16,143,34,3,0,128,1,10,6,4,Matches
494,Aníbal Chalá,ec ECU,DF,Dijon,fr Ligue 1,24,1996,8.3,393,314,79,5,0,48,2,9,0,0,0,0,239,75,79,289,15,13,74,0,301,0,10,10,16,Matches
495,Trevoh Chalobah,eng ENG,DFMF,Lorient,fr Ligue 1,21,1999,24.9,1202,1150,52,35,2,116,23,12,0,0,0,0,931,130,141,100,1005,59,16,2,1035,2,20,29,17,Matches
496,Calum Chambers,eng ENG,DF,Arsenal,eng Premier League,25,1995,8.4,575,488,87,8,1,58,8,27,0,0,0,0,366,105,104,28,427,30,79,0,462,1,6,10,17,Matches
497,Timothy Chandler,us USA,DF,Eint Frankfurt,de Bundesliga,30,1990,4.8,214,175,39,2,0,23,5,19,0,0,0,0,114,48,52,31,131,6,37,3,153,0,3,9,7,Matches
498,Kwon Chang-hoon,kr KOR,MFFW,Freiburg,de Bundesliga,26,1994,2.4,71,69,2,2,0,20,1,4,0,0,0,0,46,16,9,50,13,2,0,1,54,0,2,1,2,Matches
499,Gaëtan Charbonnier,fr FRA,MFFW,Brest,fr Ligue 1,31,1988,17.4,698,644,54,4,4,133,13,18,5,2,0,0,503,118,77,68,579,16,10,9,548,2,12,22,26,Matches
500,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,25,1994,30.2,1633,1581,52,49,1,133,79,6,0,0,0,0,1169,94,370,102,1442,58,3,2,1372,10,23,20,13,Matches
501,Xavier Chavalerin,fr FRA,MF,Reims,fr Ligue 1,29,1991,28.3,1037,1011,26,23,3,119,27,13,3,2,0,1,769,99,169,808,176,38,0,1,870,3,22,21,14,Matches
502,Pape Cheikh Diop,sn SEN,MF,Dijon,fr Ligue 1,22,1997,12.1,612,595,17,16,1,120,15,1,0,0,0,0,489,67,56,79,506,18,1,0,535,1,5,11,9,Matches
503,Chema,es ESP,DFMF,Getafe,es La Liga,28,1992,6.2,156,146,10,9,0,13,13,0,0,0,0,0,63,23,70,107,19,24,1,0,94,2,9,4,3,Matches
504,Rayan Cherki,fr FRA,FWMF,Lyon,fr Ligue 1,16,2003,7.8,351,334,17,5,4,61,5,10,6,2,0,1,282,35,34,192,148,2,6,2,280,2,7,10,12,Matches
505,Denis Cheryshev,ru RUS,MF,Valencia,es La Liga,29,1990,12.2,338,329,9,1,0,62,13,32,1,0,0,1,199,75,64,249,39,26,7,5,209,3,9,13,29,Matches
506,Giorgio Chiellini,it ITA,DF,Juventus,it Serie A,35,1984,15.4,1093,1049,44,31,0,68,29,1,0,0,0,0,882,85,126,794,251,19,5,8,1004,6,12,11,5,Matches
507,Federico Chiesa,it ITA,DF,Fiorentina,it Serie A,22,1997,2.7,118,96,22,4,0,11,7,9,0,0,0,0,59,29,30,16,78,4,18,1,91,0,1,1,6,Matches
508,Federico Chiesa,it ITA,MFDF,Juventus,it Serie A,22,1997,24.6,808,754,54,6,6,114,27,62,16,4,8,0,561,113,134,147,603,21,32,1,626,1,10,25,33,Matches
509,Ben Chilwell,eng ENG,DF,Chelsea,eng Premier League,23,1996,25.4,1806,1511,295,37,0,168,45,93,32,23,7,0,1114,285,407,1325,168,62,226,1,1419,4,27,33,57,Matches
510,Vlad Chiricheș,ro ROU,DF,Sassuolo,it Serie A,30,1989,20.4,1598,1557,41,36,1,158,24,4,0,0,0,0,1406,93,99,125,1395,34,5,5,1494,0,7,16,11,Matches
511,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,23,1997,25.3,1235,1201,34,28,2,178,34,7,0,0,0,0,939,123,173,156,993,67,3,4,1040,3,27,23,19,Matches
512,Tahith Chong,nl NED,FWMF,Werder Bremen,de Bundesliga,20,1999,4.3,136,132,4,0,0,28,2,7,0,0,0,0,87,36,13,116,14,1,4,0,86,0,2,9,17,Matches
513,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,18,2001,12.9,380,362,18,9,0,48,19,8,3,2,1,0,218,66,96,54,282,27,4,4,274,1,11,9,9,Matches
514,Hamza Choudhury,eng ENG,MF,Leicester City,eng Premier League,22,1997,3.5,235,232,3,2,0,12,6,0,0,0,0,0,166,37,32,11,194,25,1,2,190,0,9,9,3,Matches
515,Mounir Chouiar,fr FRA,FWMF,Dijon,fr Ligue 1,21,1999,14.3,523,473,50,12,1,95,30,17,26,12,13,0,378,70,75,57,426,15,8,6,395,1,7,16,22,Matches
516,Andreas Christensen,dk DEN,DF,Chelsea,eng Premier League,24,1996,15.2,1089,1064,25,20,0,82,14,1,0,0,0,0,934,54,101,74,957,37,4,2,1011,3,6,11,6,Matches
517,Carney Chukwuemeka,eng ENG,FWMF,Aston Villa,eng Premier League,16,2004,0.2,8,8,0,0,0,4,0,0,0,0,0,0,7,1,0,0,7,0,0,0,5,0,1,0,1,Matches
518,Samuel Chukwueze,ng NGA,MFFW,Villarreal,es La Liga,21,1999,15.2,532,514,18,1,2,114,11,37,9,3,0,0,394,62,76,465,28,19,8,1,397,2,11,14,20,Matches
519,Darko Churlinov,mk MKD,DFFW,Stuttgart,de Bundesliga,20,2000,2.4,99,95,4,0,0,17,1,5,0,0,0,0,76,12,11,12,80,1,4,1,81,1,2,3,2,Matches
