,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
714,Eric Dier,eng ENG,DF,Tottenham,eng Premier League,26,1994,28.0,0,14,2,14.3,0.50,0.07,0.00,0.00,21.5,8,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
715,Daan Dierckx,be BEL,DF,Parma,it Serie A,17,2003,5.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
716,Lucas Digne,fr FRA,DF,Everton,eng Premier League,27,1993,29.8,0,13,0,0.0,0.44,0.00,0.00,,23.2,3,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
717,Virgil van Dijk,nl NED,DF,Liverpool,eng Premier League,29,1991,4.1,1,4,2,50.0,0.97,0.49,0.25,0.50,13.5,0,0,0,0.3,0.3,0.08,+0.7,+0.7,Matches
718,Mitchell Dijks,nl NED,DF,Bologna,it Serie A,27,1993,16.5,0,2,0,0.0,0.12,0.00,0.00,,14.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
719,Javairô Dilrosun,nl NED,FWMF,Hertha BSC,de Bundesliga,22,1998,5.9,0,8,1,12.5,1.36,0.17,0.00,0.00,17.4,0,0,0,0.8,0.8,0.10,-0.8,-0.8,Matches
720,Federico Dimarco,it ITA,DF,Hellas Verona,it Serie A,22,1997,29.0,5,38,14,36.8,1.31,0.48,0.13,0.36,20.5,6,0,0,2.3,2.3,0.06,+2.7,+2.7,Matches
721,Tristan Dingomé,cm CMR,MF,Reims,fr Ligue 1,29,1991,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
722,Eren Dinkçi,de GER,FWMF,Werder Bremen,de Bundesliga,18,2001,1.2,1,3,2,66.7,2.50,1.67,0.33,0.50,11.3,0,0,0,0.4,0.4,0.15,+0.6,+0.6,Matches
723,Sinaly Diomande,ci CIV,DF,Lyon,fr Ligue 1,19,2001,12.6,0,16,3,18.8,1.27,0.24,0.00,0.00,14.5,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches
724,Lois Diony,fr FRA,FW,Angers,fr Ligue 1,27,1992,19.4,5,28,14,50.0,1.44,0.72,0.14,0.29,15.9,0,1,1,4.3,3.6,0.13,+0.7,+0.4,Matches
725,Issa Diop,fr FRA,DF,West Ham,eng Premier League,23,1997,15.3,2,3,2,66.7,0.20,0.13,0.67,1.00,8.2,0,0,0,0.3,0.3,0.11,+1.7,+1.7,Matches
726,Papakouli Diop,sn SEN,MF,Eibar,es La Liga,34,1986,25.8,1,28,9,32.1,1.08,0.35,0.04,0.11,17.8,0,0,0,1.9,1.9,0.07,-0.9,-0.9,Matches
727,Sofiane Diop,fr FRA,MFFW,Monaco,fr Ligue 1,20,2000,22.5,7,43,17,39.5,1.91,0.76,0.16,0.41,19.3,1,0,0,4.4,4.4,0.10,+2.6,+2.6,Matches
728,Andy Diouf,fr FRA,FW,Rennes,fr Ligue 1,18,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
729,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,20,1999,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
730,Assane Dioussé,sn SEN,DF,Saint-Étienne,fr Ligue 1,22,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
731,Axel Disasi,fr FRA,DF,Monaco,fr Ligue 1,22,1998,22.3,3,19,6,31.6,0.85,0.27,0.16,0.50,10.1,0,0,0,2.3,2.3,0.12,+0.7,+0.7,Matches
732,Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,20,2000,9.7,0,2,0,0.0,0.21,0.00,0.00,,26.7,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
733,Djené,tg TOG,DF,Getafe,es La Liga,28,1991,32.7,0,2,0,0.0,0.06,0.00,0.00,,7.2,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
734,Moussa Djenepo,ml MLI,MF,Southampton,eng Premier League,22,1998,13.8,1,14,2,14.3,1.02,0.15,0.07,0.50,19.1,0,0,0,0.9,0.9,0.06,+0.1,+0.1,Matches
735,Koffi Djidji,ci CIV,DF,Crotone,it Serie A,27,1992,16.9,1,4,2,50.0,0.24,0.12,0.25,0.50,8.9,0,0,0,0.4,0.4,0.11,+0.6,+0.6,Matches
736,Alexander Djiku,gh GHA,DFMF,Strasbourg,fr Ligue 1,25,1994,28.4,0,15,2,13.3,0.53,0.07,0.00,0.00,14.1,0,0,0,1.7,1.7,0.13,-1.7,-1.7,Matches
737,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,27,1993,29.2,0,21,1,4.8,0.72,0.03,0.00,0.00,9.2,0,0,0,2.1,2.1,0.10,-2.1,-2.1,Matches
738,Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,28,1992,34.7,1,1,0,0.0,0.03,0.00,0.00,,44.0,0,1,2,1.6,0.1,0.07,-0.6,-0.1,Matches
739,Ritsu Doan,jp JPN,MFFW,Arminia,de Bundesliga,22,1998,30.8,5,70,20,28.6,2.28,0.65,0.07,0.25,18.9,7,0,0,5.2,5.0,0.07,-0.2,0.0,Matches
740,Mihai Dobre,ro ROU,FW,Dijon,fr Ligue 1,21,1998,5.9,0,9,1,11.1,1.53,0.17,0.00,0.00,16.1,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
741,Matt Doherty,ie IRL,DF,Tottenham,eng Premier League,28,1992,13.8,0,3,1,33.3,0.22,0.07,0.00,0.00,16.0,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
742,Jeremy Doku,be BEL,MFFW,Rennes,fr Ligue 1,18,2002,25.7,2,36,7,19.4,1.40,0.27,0.06,0.29,17.3,0,0,0,3.7,3.7,0.10,-1.7,-1.7,Matches
743,Kasper Dolberg,dk DEN,FW,Nice,fr Ligue 1,22,1997,21.4,6,36,17,47.2,1.68,0.79,0.11,0.24,12.9,1,2,2,7.4,5.9,0.16,-1.4,-1.9,Matches
744,Keagan Dolly,za RSA,MF,Montpellier,fr Ligue 1,27,1993,5.0,0,6,0,0.0,1.19,0.00,0.00,,23.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
745,Jaume Doménech,es ESP,GK,Valencia,es La Liga,29,1990,28.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
746,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,19,2001,4.0,0,1,1,100.0,0.25,0.25,0.00,0.00,6.0,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
747,Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,22,1998,13.9,1,18,5,27.8,1.29,0.36,0.06,0.20,18.2,0,0,0,1.5,1.5,0.08,-0.5,-0.5,Matches
748,John Donald,es ESP,DF,Elche,es La Liga,19,2000,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
749,Ji Dong-won,kr KOR,FW,Mainz 05,de Bundesliga,29,1991,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
750,Anastasios Donis,gr GRE,MF,Reims,fr Ligue 1,23,1996,1.1,0,1,0,0.0,0.93,0.00,0.00,,29.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
751,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,21,1999,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
752,Gabriel Dos Santos,br BRA,DF,Arsenal,eng Premier League,22,1997,22.2,2,16,4,25.0,0.72,0.18,0.13,0.50,11.3,0,0,0,1.0,1.0,0.06,+1.0,+1.0,Matches
753,Bas Dost,nl NED,FW,Eint Frankfurt,de Bundesliga,31,1989,9.1,4,14,7,50.0,1.54,0.77,0.21,0.43,9.5,0,1,1,4.3,3.5,0.25,-0.3,-0.5,Matches
754,Lucas Douath,fr FRA,MF,Saint-Étienne,fr Ligue 1,16,2003,14.7,0,5,1,20.0,0.34,0.07,0.00,0.00,16.0,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
755,Abdoulaye Doucouré,fr FRA,MF,Everton,eng Premier League,27,1993,27.1,2,18,5,27.8,0.66,0.18,0.11,0.40,16.8,0,0,0,2.1,2.1,0.12,-0.1,-0.1,Matches
756,Cheick Doucouré,ml MLI,MF,Lens,fr Ligue 1,20,2000,29.2,2,35,5,14.3,1.20,0.17,0.06,0.40,23.8,0,0,0,1.2,1.2,0.03,+0.8,+0.8,Matches
757,Fodé Doucouré,ml MLI,DF,Reims,fr Ligue 1,19,2001,3.7,0,3,2,66.7,0.81,0.54,0.00,0.00,22.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
758,Mahamadou Doucouré,fr FRA,FW,Nîmes,fr Ligue 1,20,2000,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
759,Cheick Doukouré,ci CIV,MF,Levante,es La Liga,27,1992,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
760,Idrissa Doumbia,ci CIV,MF,Huesca,es La Liga,22,1998,8.7,0,4,0,0.0,0.46,0.00,0.00,,21.1,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
761,Moussa Doumbia,ml MLI,MFFW,Reims,fr Ligue 1,25,1994,10.0,0,17,3,17.6,1.70,0.30,0.00,0.00,20.9,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
762,Souleyman Doumbia,ci CIV,DF,Angers,fr Ligue 1,23,1996,24.7,0,7,2,28.6,0.28,0.08,0.00,0.00,21.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
763,Aleksandar Dragović,at AUT,DF,Leverkusen,de Bundesliga,29,1991,12.6,1,3,2,66.7,0.24,0.16,0.33,0.50,16.1,0,0,0,0.3,0.3,0.10,+0.7,+0.7,Matches
764,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,22,1997,35.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
765,Denis Drăguș,ro ROU,FWMF,Crotone,it Serie A,21,1999,2.0,0,4,0,0.0,2.03,0.00,0.00,,25.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
766,Radu Drăgușin,ro ROU,DF,Juventus,it Serie A,18,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
767,Mouhamadou Drammeh,fr FRA,MF,Reims,fr Ligue 1,21,1999,1.9,0,1,0,0.0,0.52,0.00,0.00,,29.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
768,Julian Draxler,de GER,MFFW,Paris S-G,fr Ligue 1,26,1993,11.8,4,12,5,41.7,1.02,0.42,0.33,0.80,15.3,0,0,0,2.2,2.2,0.18,+1.8,+1.8,Matches
769,Dominick Drexler,de GER,MFFW,Köln,de Bundesliga,30,1990,13.7,2,12,2,16.7,0.88,0.15,0.17,1.00,12.1,0,0,0,2.8,2.8,0.23,-0.8,-0.8,Matches
770,Matthieu Dreyer,fr FRA,GK,Lorient,fr Ligue 1,31,1989,15.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
771,Domingos Duarte,pt POR,DF,Granada,es La Liga,25,1995,26.3,1,7,2,28.6,0.27,0.08,0.14,0.50,8.2,0,0,0,1.3,1.3,0.19,-0.3,-0.3,Matches
772,Léo Duarte,br BRA,DF,Milan,it Serie A,24,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
773,Óscar Duarte,cr CRC,DF,Levante,es La Liga,31,1989,22.9,1,6,3,50.0,0.26,0.13,0.17,0.33,7.5,0,0,0,1.1,1.1,0.19,-0.1,-0.1,Matches
774,Rubén Duarte,es ESP,DF,Alavés,es La Liga,24,1995,28.3,1,12,1,8.3,0.42,0.04,0.08,1.00,22.4,0,0,0,1.3,1.3,0.11,-0.3,-0.3,Matches
775,Leo Dubois,fr FRA,DF,Lyon,fr Ligue 1,25,1994,32.3,2,20,3,15.0,0.62,0.09,0.10,0.67,20.4,0,0,0,1.0,1.0,0.05,+1.0,+1.0,Matches
776,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,31,1989,13.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
777,Ondrej Duda,sk SVK,FWMF,Köln,de Bundesliga,25,1994,28.2,7,47,13,27.7,1.67,0.46,0.09,0.31,21.7,4,3,4,5.8,2.8,0.06,+1.2,+1.2,Matches
778,Unai Dufur,es ESP,DF,Eibar,es La Liga,21,1999,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
779,Haris Duljević,ba BIH,MFFW,Nîmes,fr Ligue 1,26,1993,8.6,0,14,5,35.7,1.63,0.58,0.00,0.00,22.3,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Matches
780,Paul Dummett,wls WAL,DF,Newcastle Utd,eng Premier League,28,1991,13.9,1,3,1,33.3,0.22,0.07,0.33,1.00,6.9,0,0,0,0.3,0.3,0.10,+0.7,+0.7,Matches
781,Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,27,1993,1.8,0,1,0,0.0,0.56,0.00,0.00,,25.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
782,Alfred Duncan,gh GHA,MF,Cagliari,it Serie A,27,1993,11.9,0,7,0,0.0,0.59,0.00,0.00,,24.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
783,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,28,1991,32.6,5,30,13,43.3,0.92,0.40,0.17,0.38,12.3,2,0,0,2.5,2.5,0.08,+2.5,+2.5,Matches
784,Jimmy Dunne,ie IRL,DF,Burnley,eng Premier League,22,1997,3.0,1,7,1,14.3,2.33,0.33,0.14,1.00,10.8,0,0,0,0.4,0.4,0.06,+0.6,+0.6,Matches
785,Erik Durm,de GER,DF,Eint Frankfurt,de Bundesliga,28,1992,16.4,1,20,6,30.0,1.22,0.36,0.05,0.17,19.5,0,0,0,1.6,1.6,0.08,-0.6,-0.6,Matches
786,Hugo Duro,es ESP,FW,Real Madrid,es La Liga,20,1999,0.6,0,1,0,0.0,1.64,0.00,0.00,,1.4,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
787,Jean-Kevin Duverne,fr FRA,DF,Brest,fr Ligue 1,23,1997,22.5,1,9,1,11.1,0.40,0.04,0.11,1.00,12.8,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Matches
788,Paulo Dybala,ar ARG,FW,Juventus,it Serie A,26,1993,12.6,4,52,15,28.8,4.13,1.19,0.08,0.27,18.7,5,0,0,4.6,4.6,0.09,-0.6,-0.6,Matches
789,Edin Džeko,ba BIH,FW,Roma,it Serie A,34,1986,20.3,7,70,24,34.3,3.45,1.18,0.10,0.29,12.2,0,0,1,13.0,12.2,0.17,-6.0,-5.2,Matches
790,Eric Junior Dina Ebimbe,fr FRA,FWMF,Dijon,fr Ligue 1,19,2000,23.8,1,46,13,28.3,1.93,0.55,0.02,0.08,17.0,0,0,0,3.8,3.8,0.08,-2.8,-2.8,Matches
791,Steeve-Mike Ebongue,fr FRA,MF,Genoa,it Serie A,19,2001,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
792,Enzo Ebosse,fr FRA,DF,Angers,fr Ligue 1,21,1999,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
793,Bruno Ecuele Manga,ga GAB,DF,Dijon,fr Ligue 1,32,1988,38.0,2,30,7,23.3,0.79,0.18,0.07,0.29,9.7,0,0,0,1.6,1.6,0.05,+0.4,+0.4,Matches
794,Simone Edera,it ITA,DFMF,Torino,it Serie A,23,1997,0.6,0,3,1,33.3,5.19,1.73,0.00,0.00,27.5,2,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
795,Ederson,br BRA,GK,Manchester City,eng Premier League,26,1993,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
796,Kyle Edwards,eng ENG,MFFW,West Brom,eng Premier League,22,1998,1.3,0,2,1,50.0,1.53,0.76,0.00,0.00,15.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
797,John Egan,ie IRL,DF,Sheffield Utd,eng Premier League,27,1992,29.2,0,14,3,21.4,0.48,0.10,0.00,0.00,9.8,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
798,Johannes Eggestein,de GER,FWMF,Werder Bremen,de Bundesliga,22,1998,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
799,Maximilian Eggestein,de GER,MF,Werder Bremen,de Bundesliga,23,1996,32.7,2,22,5,22.7,0.67,0.15,0.09,0.40,23.3,0,0,0,1.1,1.1,0.05,+0.9,+0.9,Matches
800,Lilian Egloff,de GER,MF,Stuttgart,de Bundesliga,17,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
801,Kingsley Ehizibue,nl NED,DF,Köln,de Bundesliga,25,1995,12.6,0,9,1,11.1,0.71,0.08,0.00,0.00,21.7,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
802,Albin Ekdal,se SWE,MF,Sampdoria,it Serie A,31,1989,25.5,2,13,3,23.1,0.51,0.12,0.15,0.67,17.9,0,0,0,0.8,0.8,0.06,+1.2,+1.2,Matches
803,Hugo Ekitike,fr FRA,MFFW,Reims,fr Ligue 1,18,2002,1.0,0,3,1,33.3,3.07,1.02,0.00,0.00,14.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
804,Anthony Elanga,se SWE,FW,Manchester Utd,eng Premier League,18,2002,1.7,1,3,1,33.3,1.74,0.58,0.33,1.00,16.4,0,0,0,0.3,0.3,0.09,+0.7,+0.7,Matches
805,Niclas Eliasson,se SWE,MFFW,Nîmes,fr Ligue 1,24,1995,20.0,4,25,10,40.0,1.25,0.50,0.16,0.40,16.0,6,0,0,4.0,4.0,0.16,0.0,0.0,Matches
806,Elif Elmas,mk MKD,MFFW,Napoli,it Serie A,20,1999,8.2,2,13,6,46.2,1.58,0.73,0.15,0.33,16.5,0,0,0,1.8,1.8,0.14,+0.2,+0.2,Matches
807,Ahmed Elmohamady,eg EGY,DF,Aston Villa,eng Premier League,32,1987,9.3,0,9,1,11.1,0.97,0.11,0.00,0.00,11.2,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
808,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,28,1992,17.2,1,9,2,22.2,0.52,0.12,0.11,0.50,19.3,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
809,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,26,1994,20.9,1,5,1,20.0,0.24,0.05,0.20,1.00,11.1,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches
810,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,23,1996,28.2,3,12,6,50.0,0.43,0.21,0.25,0.50,9.1,0,0,0,2.0,2.0,0.16,+1.0,+1.0,Matches
811,Rodrigo Ely,br BRA,DF,Alavés,es La Liga,26,1993,5.2,1,3,2,66.7,0.58,0.38,0.33,0.50,7.9,0,0,0,0.2,0.2,0.07,+0.8,+0.8,Matches
812,Sepe Elye Wahi,fr FRA,FW,Montpellier,fr Ligue 1,17,2003,6.2,3,12,7,58.3,1.95,1.14,0.25,0.43,8.7,0,0,0,2.0,2.0,0.17,+1.0,+1.0,Matches
813,Breel Embolo,ch SUI,FWMF,M'Gladbach,de Bundesliga,23,1997,16.0,5,41,19,46.3,2.56,1.19,0.12,0.26,13.0,0,0,0,7.0,7.0,0.18,-2.0,-2.0,Matches
814,Emerson,br BRA,DF,Betis,es La Liga,21,1999,33.2,1,11,2,18.2,0.33,0.06,0.09,0.50,17.0,0,0,0,1.2,1.2,0.11,-0.2,-0.2,Matches
815,Manu Emmanuel Gyabuaa,it ITA,MF,Atalanta,it Serie A,18,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
816,Renaud Emond,be BEL,FW,Nantes,fr Ligue 1,28,1991,3.9,2,7,5,71.4,1.78,1.27,0.29,0.40,9.4,0,0,0,1.3,1.3,0.19,+0.7,+0.7,Matches
817,Alan Empereur,br BRA,DF,Hellas Verona,it Serie A,26,1994,2.4,0,1,0,0.0,0.41,0.00,0.00,,7.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
818,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,23,1997,25.7,18,77,27,35.1,3.00,1.05,0.23,0.67,11.8,0,0,0,14.8,14.8,0.19,+3.2,+3.2,Matches
819,Keita Endo,jp JPN,MFFW,Union Berlin,de Bundesliga,22,1997,5.1,1,9,4,44.4,1.78,0.79,0.11,0.25,17.0,0,0,0,1.2,1.2,0.13,-0.2,-0.2,Matches
820,Wataru Endo,jp JPN,MF,Stuttgart,de Bundesliga,27,1993,32.8,3,27,14,51.9,0.82,0.43,0.11,0.21,18.5,0,0,0,2.3,2.3,0.08,+0.7,+0.7,Matches
821,Sergi Enrich,es ESP,FW,Eibar,es La Liga,30,1990,15.6,3,42,12,28.6,2.69,0.77,0.07,0.25,9.7,0,0,1,5.8,5.0,0.12,-2.8,-2.0,Matches
822,Christian Eriksen,dk DEN,MF,Inter,it Serie A,28,1992,15.4,3,30,11,36.7,1.95,0.71,0.10,0.27,22.2,7,0,0,1.7,1.7,0.06,+1.3,+1.3,Matches
823,Martin Erlic,hr CRO,DF,Spezia,it Serie A,22,1998,20.0,3,9,3,33.3,0.45,0.15,0.33,1.00,11.0,0,0,0,1.3,1.3,0.14,+1.7,+1.7,Matches
824,Patrick Erras,de GER,FWMF,Werder Bremen,de Bundesliga,25,1995,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
825,Gonzalo Escalante,ar ARG,MF,Lazio,it Serie A,27,1993,8.1,0,7,3,42.9,0.86,0.37,0.00,0.00,22.0,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
826,Aarón Escandell,es ESP,GK,Granada,es La Liga,24,1995,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
827,Dani Escriche,es ESP,FWMF,Huesca,es La Liga,22,1998,9.5,1,10,1,10.0,1.05,0.11,0.10,1.00,13.4,0,0,0,1.4,1.4,0.14,-0.4,-0.4,Matches
828,Sergio Escudero,es ESP,DF,Sevilla,es La Liga,30,1989,6.3,1,6,1,16.7,0.96,0.16,0.17,1.00,20.6,1,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches
829,Alfonso Espino,uy URU,DF,Cádiz,es La Liga,28,1992,28.9,0,9,4,44.4,0.31,0.14,0.00,0.00,23.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
830,Vicente Esquerdo,es ESP,MF,Valencia,es La Liga,21,1999,2.6,0,1,0,0.0,0.39,0.00,0.00,,28.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
831,Nahuel Estévez,ar ARG,MF,Spezia,it Serie A,24,1995,19.6,0,24,8,33.3,1.22,0.41,0.00,0.00,19.3,2,0,0,1.7,1.7,0.07,-1.7,-1.7,Matches
832,Pervis Estupiñán,ec ECU,DF,Villarreal,es La Liga,22,1998,13.0,0,11,5,45.5,0.85,0.39,0.00,0.00,17.5,2,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
833,Yoann Etienne,fr FRA,DF,Lorient,fr Ligue 1,23,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
834,Xabier Etxeita,es ESP,DF,Getafe,es La Liga,32,1987,9.8,0,4,0,0.0,0.41,0.00,0.00,,8.5,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches
835,Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,32,1988,27.5,2,8,3,37.5,0.29,0.11,0.25,0.67,7.6,0,0,0,1.7,1.7,0.21,+0.3,+0.3,Matches
836,Edu Expósito,es ESP,MF,Eibar,es La Liga,23,1996,27.3,0,41,9,22.0,1.50,0.33,0.00,0.00,22.8,0,0,2,3.3,1.8,0.04,-3.3,-1.8,Matches
837,Valentin Eysseric,fr FRA,MFFW,Fiorentina,it Serie A,28,1992,8.1,2,13,5,38.5,1.60,0.62,0.15,0.40,16.9,1,0,0,2.2,2.2,0.17,-0.2,-0.2,Matches
838,Eberechi Eze,eng ENG,MF,Crystal Palace,eng Premier League,22,1998,28.4,4,37,13,35.1,1.30,0.46,0.11,0.31,21.1,4,0,0,2.2,2.2,0.06,+1.8,+1.8,Matches
839,Jokin Ezkieta,es ESP,GK,Athletic Club,es La Liga,23,1996,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
840,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,35,1985,35.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
841,Fabinho,br BRA,DFMF,Liverpool,eng Premier League,26,1993,28.5,0,10,1,10.0,0.35,0.04,0.00,0.00,21.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
842,Fábio,br BRA,DF,Nantes,fr Ligue 1,30,1990,16.7,0,7,1,14.3,0.42,0.06,0.00,0.00,21.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
843,Cesc Fàbregas,es ESP,MF,Monaco,fr Ligue 1,33,1987,9.7,2,8,2,25.0,0.82,0.21,0.00,0.00,18.5,1,2,2,3.1,1.5,0.19,-1.1,-1.5,Matches
844,Bandiougou Fadiga,fr FRA,FWMF,Paris S-G,fr Ligue 1,19,2001,0.7,0,1,1,100.0,1.43,1.43,0.00,0.00,25.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
845,Bandiougou Fadiga,fr FRA,MF,Brest,fr Ligue 1,19,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
846,Wout Faes,be BEL,DF,Reims,fr Ligue 1,22,1998,32.2,1,8,1,12.5,0.25,0.03,0.13,1.00,11.0,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches
847,Nicolò Fagioli,it ITA,MF,Juventus,it Serie A,19,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
848,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,31,1988,20.8,0,1,0,0.0,0.05,0.00,0.00,,6.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
849,Romain Faivre,fr FRA,MFFW,Brest,fr Ligue 1,22,1998,32.1,6,61,22,36.1,1.90,0.68,0.08,0.23,20.0,8,1,1,7.0,6.3,0.10,-1.0,-1.3,Matches
850,Fali,es ESP,DFMF,Cádiz,es La Liga,26,1993,29.3,0,11,2,18.2,0.38,0.07,0.00,0.00,11.8,1,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
851,Iago Falque,es ESP,MFFW,Benevento,it Serie A,30,1990,4.0,1,11,1,9.1,2.77,0.25,0.09,1.00,20.6,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches
852,Andri Fannar Baldursson,is ISL,MF,Bologna,it Serie A,18,2002,2.4,0,2,0,0.0,0.83,0.00,0.00,,8.0,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
