,,,,,,Playing Time,,,,Performance,,,,,,,Per 90 Minutes,,,,,Expected,,,Per 90 Minutes,,,,,
52, Lorient,fr Ligue 1,27,26.8,44.6,38,418,3420,38.0,48,26,39,9,10,69,3,1.26,0.68,1.95,1.03,1.71,48.8,41.6,31.2,72.7,1.29,0.82,2.11,1.09,1.91
53, Lyon,fr Ligue 1,29,25.8,54.9,38,418,3420,38.0,76,46,65,11,11,66,10,2.00,1.21,3.21,1.71,2.92,84.6,76.4,55.0,131.5,2.23,1.45,3.67,2.01,3.46
54, M'Gladbach,de Bundesliga,23,26.9,51.9,34,374,3060,34.0,63,44,53,10,11,61,2,1.85,1.29,3.15,1.56,2.85,55.2,47.0,34.6,81.7,1.62,1.02,2.64,1.38,2.40
55, Mainz 05,de Bundesliga,31,25.8,40.5,34,374,3060,34.0,39,23,34,5,5,63,1,1.15,0.68,1.82,1.00,1.68,47.1,43.4,34.7,78.1,1.39,1.02,2.41,1.28,2.30
56, Manchester City,eng Premier League,24,26.1,63.9,38,418,3420,38.0,82,55,77,5,9,46,2,2.16,1.45,3.61,2.03,3.47,73.3,66.6,51.0,117.5,1.93,1.34,3.27,1.75,3.09
57, Manchester Utd,eng Premier League,29,25.6,55.8,38,418,3420,38.0,70,51,60,10,11,64,1,1.84,1.34,3.18,1.58,2.92,60.2,51.9,40.5,92.4,1.58,1.07,2.65,1.37,2.43
58, Marseille,fr Ligue 1,31,27.2,53.9,38,418,3420,38.0,53,45,49,4,7,98,9,1.39,1.18,2.58,1.29,2.47,47.5,42.2,34.5,76.7,1.25,0.91,2.16,1.11,2.02
59, Metz,fr Ligue 1,27,25.7,45.3,38,418,3420,38.0,42,28,35,7,11,84,4,1.11,0.74,1.84,0.92,1.66,41.3,33.2,25.6,58.8,1.09,0.67,1.76,0.87,1.55
60, Milan,it Serie A,29,24.4,51.9,38,418,3420,38.0,72,47,57,15,20,83,4,1.89,1.24,3.13,1.50,2.74,71.2,56.6,43.4,100.0,1.87,1.14,3.02,1.49,2.63
61, Monaco,fr Ligue 1,30,24.8,56.0,38,418,3420,38.0,76,52,64,12,15,78,7,2.00,1.37,3.37,1.68,3.05,66.9,55.4,44.7,100.1,1.76,1.18,2.94,1.46,2.63
62, Montpellier,fr Ligue 1,25,28.0,45.3,38,418,3420,38.0,60,42,58,2,5,65,7,1.58,1.11,2.68,1.53,2.63,47.9,44.2,30.7,74.9,1.26,0.81,2.07,1.16,1.97
63, Nantes,fr Ligue 1,25,25.8,43.7,40,418,3420,38.0,47,28,39,8,9,70,4,1.24,0.74,1.97,1.03,1.76,48.9,42.1,26.7,68.8,1.29,0.70,1.99,1.11,1.81
64, Napoli,it Serie A,25,27.1,55.2,38,418,3420,38.0,83,56,76,7,8,76,3,2.18,1.47,3.66,2.00,3.47,67.7,61.5,45.5,107.0,1.78,1.20,2.98,1.62,2.82
65, Newcastle Utd,eng Premier League,27,27.1,38.2,38,418,3420,38.0,44,26,38,6,7,65,3,1.16,0.68,1.84,1.00,1.68,41.0,35.5,26.1,61.6,1.08,0.69,1.77,0.93,1.62
66, Nice,fr Ligue 1,31,23.5,54.5,38,418,3420,38.0,49,26,42,7,7,73,4,1.29,0.68,1.97,1.11,1.79,46.9,41.7,26.3,68.1,1.24,0.69,1.93,1.10,1.79
67, Nîmes,fr Ligue 1,34,25.8,44.4,38,418,3420,38.0,40,26,33,7,8,60,5,1.05,0.68,1.74,0.87,1.55,41.4,35.8,27.3,63.1,1.09,0.72,1.81,0.94,1.66
68, Osasuna,es La Liga,28,27.9,43.1,38,418,3420,38.0,36,25,31,5,6,80,5,0.95,0.66,1.61,0.82,1.47,37.6,33.2,23.4,56.7,0.99,0.62,1.61,0.87,1.49
69, Paris S-G,fr Ligue 1,33,26.7,63.5,38,418,3420,38.0,85,52,73,12,13,79,7,2.24,1.37,3.61,1.92,3.29,82.4,73.1,54.6,127.7,2.17,1.44,3.61,1.92,3.36
70, Parma,it Serie A,42,28.0,47.7,38,418,3420,38.0,39,26,34,5,5,91,1,1.03,0.68,1.71,0.89,1.58,40.0,36.2,28.6,64.9,1.05,0.75,1.81,0.95,1.71
71, RB Leipzig,de Bundesliga,25,25.0,60.0,34,374,3060,34.0,59,44,51,8,10,57,0,1.74,1.29,3.03,1.50,2.79,65.3,58.0,44.7,102.7,1.92,1.32,3.24,1.70,3.02
72, Real Madrid,es La Liga,30,27.9,59.7,38,418,3420,38.0,64,53,61,3,3,59,2,1.68,1.39,3.08,1.61,3.00,61.6,59.4,46.2,105.5,1.62,1.21,2.84,1.56,2.78
73, Real Sociedad,es La Liga,30,25.0,55.1,38,418,3420,38.0,58,39,49,9,12,81,1,1.53,1.03,2.55,1.29,2.32,60.4,51.6,39.2,90.7,1.59,1.03,2.62,1.36,2.39
74, Reims,fr Ligue 1,29,24.6,44.8,38,418,3420,38.0,39,23,34,5,5,77,8,1.03,0.61,1.63,0.89,1.50,33.3,29.7,20.9,50.5,0.88,0.55,1.43,0.78,1.33
75, Rennes,fr Ligue 1,32,25.5,59.5,38,418,3420,38.0,50,39,47,3,3,79,5,1.32,1.03,2.34,1.24,2.26,50.0,47.7,37.5,85.2,1.31,0.99,2.30,1.25,2.24
76, Roma,it Serie A,31,26.7,52.5,38,418,3420,38.0,67,51,60,7,8,91,3,1.76,1.34,3.11,1.58,2.92,68.9,62.9,49.2,112.2,1.81,1.30,3.11,1.66,2.95
77, Saint-Étienne,fr Ligue 1,40,25.4,48.3,38,418,3420,38.0,40,28,34,6,9,76,2,1.05,0.74,1.79,0.89,1.63,48.2,41.4,30.8,72.2,1.27,0.81,2.08,1.09,1.90
78, Sampdoria,it Serie A,27,27.9,45.1,38,418,3420,38.0,52,37,47,5,6,83,3,1.37,0.97,2.34,1.24,2.21,46.2,41.7,30.0,71.7,1.21,0.79,2.00,1.10,1.89
79, Sassuolo,it Serie A,28,26.5,60.8,38,418,3420,38.0,61,36,48,13,14,79,4,1.61,0.95,2.55,1.26,2.21,59.2,48.8,35.5,84.4,1.56,0.94,2.49,1.29,2.22
80, Schalke 04,de Bundesliga,42,25.9,44.6,34,374,3060,34.0,24,20,24,0,3,74,2,0.71,0.59,1.29,0.71,1.29,27.0,24.5,18.3,42.9,0.79,0.54,1.33,0.72,1.26
81, Sevilla,es La Liga,26,28.1,61.2,38,418,3420,38.0,52,36,46,6,7,79,2,1.37,0.95,2.32,1.21,2.16,50.9,45.6,34.8,80.4,1.34,0.92,2.26,1.20,2.12
82, Sheffield Utd,eng Premier League,27,26.7,41.5,38,418,3420,38.0,19,13,16,3,4,73,3,0.50,0.34,0.84,0.42,0.76,31.4,28.4,22.6,51.0,0.83,0.60,1.42,0.75,1.34
83, Southampton,eng Premier League,29,26.6,52.2,38,418,3420,38.0,47,33,42,5,6,52,3,1.24,0.87,2.11,1.11,1.97,42.4,37.9,27.4,65.4,1.12,0.72,1.84,1.00,1.72
84, Spezia,it Serie A,35,25.2,52.2,38,418,3420,38.0,52,37,48,4,5,100,5,1.37,0.97,2.34,1.26,2.24,46.7,42.9,28.9,71.8,1.23,0.76,1.99,1.13,1.89
85, Strasbourg,fr Ligue 1,26,26.8,45.6,38,418,3420,38.0,49,26,39,10,12,58,3,1.29,0.68,1.97,1.03,1.71,52.6,43.3,30.0,73.2,1.38,0.79,2.17,1.14,1.93
86, Stuttgart,de Bundesliga,29,24.1,51.5,34,374,3060,34.0,54,42,48,6,8,65,2,1.59,1.24,2.82,1.41,2.65,53.2,47.1,38.1,85.1,1.56,1.12,2.68,1.38,2.50
87, Torino,it Serie A,29,26.9,47.2,38,418,3420,38.0,49,28,44,5,6,78,4,1.29,0.74,2.03,1.16,1.89,50.2,45.5,32.5,78.1,1.32,0.86,2.18,1.20,2.05
88, Tottenham,eng Premier League,24,27.2,51.7,38,418,3420,38.0,66,50,61,5,5,57,2,1.74,1.32,3.05,1.61,2.92,54.5,50.7,35.5,86.2,1.43,0.93,2.37,1.33,2.27
89, Udinese,it Serie A,33,27.2,46.1,38,418,3420,38.0,40,30,36,4,4,65,2,1.05,0.79,1.84,0.95,1.74,42.9,40.1,27.3,67.4,1.13,0.72,1.85,1.05,1.77
90, Union Berlin,de Bundesliga,27,27.3,44.9,34,374,3060,34.0,50,39,45,5,7,57,2,1.47,1.15,2.62,1.32,2.47,45.8,40.4,31.1,71.5,1.35,0.91,2.26,1.19,2.10
91, Valencia,es La Liga,30,25.2,46.9,38,418,3420,38.0,48,35,40,8,10,82,5,1.26,0.92,2.18,1.05,1.97,43.9,36.4,27.2,63.6,1.15,0.72,1.87,0.96,1.67
92, Valladolid,es La Liga,32,28.1,45.1,38,418,3420,38.0,34,21,27,7,8,93,4,0.89,0.55,1.45,0.71,1.26,37.1,31.2,22.1,53.3,0.98,0.58,1.56,0.82,1.40
93, Villarreal,es La Liga,29,28.0,55.6,38,418,3420,38.0,57,33,45,12,13,67,5,1.50,0.87,2.37,1.18,2.05,58.0,48.3,40.5,88.9,1.53,1.07,2.59,1.27,2.34
94, Werder Bremen,de Bundesliga,27,26.3,43.8,34,374,3060,34.0,35,25,30,5,5,67,3,1.03,0.74,1.76,0.88,1.62,33.8,30.0,21.5,51.5,0.99,0.63,1.63,0.88,1.52
95, West Brom,eng Premier League,30,26.4,37.6,38,418,3420,38.0,33,20,29,4,4,51,4,0.87,0.53,1.39,0.76,1.29,33.8,30.7,21.2,52.0,0.89,0.56,1.45,0.81,1.37
96, West Ham,eng Premier League,24,27.8,42.9,38,418,3420,38.0,60,46,58,2,4,50,3,1.58,1.21,2.79,1.53,2.74,53.9,50.7,36.8,87.5,1.42,0.97,2.39,1.33,2.30
97, Wolfsburg,de Bundesliga,26,25.6,51.4,34,374,3060,34.0,57,48,55,2,3,58,3,1.68,1.41,3.09,1.62,3.03,49.5,47.4,37.6,85.0,1.45,1.11,2.56,1.39,2.50
98, Wolves,eng Premier League,27,26.3,49.3,38,418,3420,38.0,34,21,30,4,4,55,1,0.89,0.55,1.45,0.79,1.34,39.9,36.8,26.4,63.3,1.05,0.70,1.74,0.97,1.66
