,,,,,SCA,,SCA Types,,,,,,GCA,GCA Types,,,,,,
16, Brest,fr Ligue 1,26,38.0,735,19.34,515,75,44,39,47,15,75,1.97,51,6,4,7,6,1
17, Brighton,eng Premier League,27,38.0,754,19.84,559,65,33,44,36,17,60,1.58,42,5,1,5,6,1
18, Burnley,eng Premier League,25,38.0,563,14.82,391,66,26,27,37,16,46,1.21,25,6,6,3,4,2
19, Cádiz,es La Liga,34,38.0,428,11.26,276,51,32,25,31,13,55,1.45,38,1,5,6,4,1
20, Cagliari,it Serie A,32,38.0,657,17.29,461,67,33,47,36,13,72,1.89,49,4,4,9,5,1
21, Celta Vigo,es La Liga,30,38.0,574,15.11,424,44,28,31,34,13,99,2.61,71,5,5,6,10,2
22, Chelsea,eng Premier League,27,38.0,939,24.71,707,82,40,46,47,17,97,2.55,68,7,5,6,10,1
23, Crotone,it Serie A,31,38.0,585,15.39,415,50,47,23,33,17,75,1.97,44,7,9,4,8,3
24, Crystal Palace,eng Premier League,24,38.0,546,14.37,376,51,46,17,42,14,70,1.84,45,6,7,4,6,2
25, Dijon,fr Ligue 1,33,38.0,527,13.87,352,61,41,28,32,13,34,0.89,19,3,3,6,2,1
26, Dortmund,de Bundesliga,26,34.0,812,23.88,597,53,56,40,45,21,125,3.68,93,7,10,7,6,2
27, Eibar,es La Liga,30,38.0,638,16.79,401,78,54,43,40,22,44,1.16,26,3,6,5,2,2
28, Eint Frankfurt,de Bundesliga,25,34.0,728,21.41,523,80,31,37,40,17,117,3.44,72,12,7,11,12,3
29, Elche,es La Liga,30,38.0,399,10.50,265,52,23,20,32,7,51,1.34,32,5,4,4,5,1
30, Everton,eng Premier League,29,38.0,645,16.97,470,66,29,28,42,10,78,2.05,52,9,2,10,5,0
31, Fiorentina,it Serie A,30,38.0,559,14.71,399,58,33,22,39,8,73,1.92,51,4,3,8,7,0
32, Freiburg,de Bundesliga,24,34.0,608,17.88,423,72,22,34,43,14,80,2.35,53,6,2,9,6,4
33, Fulham,eng Premier League,28,38.0,702,18.47,515,63,47,28,32,17,47,1.24,33,3,5,2,3,1
34, Genoa,it Serie A,34,38.0,528,13.89,395,34,29,25,26,19,65,1.71,51,3,2,4,3,2
35, Getafe,es La Liga,31,38.0,569,14.97,397,59,25,28,47,13,43,1.13,27,0,5,6,3,2
36, Granada,es La Liga,34,38.0,498,13.11,325,48,34,33,42,16,68,1.79,43,3,7,6,4,5
37, Hellas Verona,it Serie A,32,38.0,625,16.45,444,69,29,26,44,13,72,1.89,53,3,5,5,6,0
38, Hertha BSC,de Bundesliga,32,34.0,597,17.56,412,59,43,29,38,16,66,1.94,47,3,2,6,7,1
39, Hoffenheim,de Bundesliga,30,34.0,687,20.21,515,54,36,31,40,11,90,2.65,61,5,8,7,8,1
40, Huesca,es La Liga,27,38.0,621,16.34,437,65,40,26,39,14,56,1.47,41,6,2,4,1,2
41, Inter,it Serie A,25,38.0,876,23.05,676,66,36,42,41,15,141,3.71,111,7,4,9,9,1
42, Juventus,it Serie A,30,38.0,1000,26.32,726,80,68,59,47,20,135,3.55,98,4,8,14,6,5
43, Köln,de Bundesliga,28,34.0,533,15.68,369,59,31,29,36,9,53,1.56,33,4,2,8,5,1
44, Lazio,it Serie A,30,38.0,850,22.37,660,47,43,45,36,19,100,2.63,71,1,7,10,8,3
45, Leeds United,eng Premier League,23,38.0,812,21.37,614,64,43,43,29,19,108,2.84,79,6,8,8,6,1
46, Leicester City,eng Premier League,27,38.0,762,20.05,555,44,50,37,44,32,111,2.92,79,3,8,5,11,5
47, Lens,fr Ligue 1,27,38.0,725,19.08,507,63,52,37,47,19,96,2.53,61,8,7,6,11,3
48, Levante,es La Liga,29,38.0,595,15.66,451,47,30,19,31,17,77,2.03,57,4,5,3,4,4
49, Leverkusen,de Bundesliga,30,34.0,739,21.74,541,61,62,40,25,10,89,2.62,60,7,10,9,2,1
50, Lille,fr Ligue 1,21,38.0,769,20.24,561,59,50,37,44,18,97,2.55,69,3,7,10,7,1
51, Liverpool,eng Premier League,28,38.0,936,24.63,709,64,51,52,41,19,94,2.47,66,6,4,12,5,1
52, Lorient,fr Ligue 1,27,38.0,653,17.18,439,58,41,39,57,19,78,2.05,45,5,4,10,12,2
53, Lyon,fr Ligue 1,29,38.0,1003,26.39,714,80,69,53,57,30,138,3.63,91,6,12,9,16,4
54, M'Gladbach,de Bundesliga,23,34.0,688,20.24,485,72,34,40,39,18,100,2.94,63,9,2,12,12,2
55, Mainz 05,de Bundesliga,31,34.0,560,16.47,392,59,37,23,35,14,59,1.74,34,7,3,8,6,1
56, Manchester City,eng Premier League,24,38.0,986,25.95,719,62,83,47,47,28,138,3.63,95,4,16,11,7,5
57, Manchester Utd,eng Premier League,29,38.0,879,23.13,636,75,45,49,54,20,122,3.21,87,7,6,8,11,3
58, Marseille,fr Ligue 1,31,38.0,612,16.11,430,62,30,26,47,17,92,2.42,60,10,4,4,11,3
59, Metz,fr Ligue 1,27,38.0,685,18.03,461,67,44,31,62,20,72,1.89,47,2,7,5,8,3
60, Milan,it Serie A,29,38.0,898,23.63,630,82,49,55,67,15,128,3.37,82,10,7,9,16,4
61, Monaco,fr Ligue 1,30,38.0,783,20.61,557,86,37,42,43,18,124,3.26,83,8,8,5,14,6
62, Montpellier,fr Ligue 1,25,38.0,716,18.84,468,81,42,49,56,20,100,2.63,67,7,6,12,7,1
63, Nantes,fr Ligue 1,25,38.0,627,16.50,429,60,49,29,41,19,69,1.82,42,3,11,6,7,0
64, Napoli,it Serie A,25,38.0,1051,27.66,772,62,72,57,53,35,139,3.66,87,6,18,11,14,3
65, Newcastle Utd,eng Premier League,27,38.0,607,15.97,396,78,40,22,52,19,68,1.79,45,5,4,6,7,1
66, Nice,fr Ligue 1,31,38.0,621,16.34,418,56,53,32,40,22,67,1.76,35,4,8,7,9,4
67, Nîmes,fr Ligue 1,34,38.0,565,14.87,382,62,41,25,38,17,59,1.55,43,1,5,3,7,0
68, Osasuna,es La Liga,28,38.0,535,14.08,381,55,27,29,27,16,56,1.47,39,4,1,6,3,3
69, Paris S-G,fr Ligue 1,33,38.0,918,24.16,666,64,61,46,61,20,135,3.55,88,6,14,9,13,5
70, Parma,it Serie A,42,38.0,628,16.53,449,58,44,30,35,12,67,1.76,50,3,5,3,6,0
71, RB Leipzig,de Bundesliga,25,34.0,890,26.18,672,64,37,53,46,18,100,2.94,67,4,8,9,8,4
72, Real Madrid,es La Liga,30,38.0,924,24.32,694,77,56,44,35,18,112,2.95,85,6,8,7,4,2
73, Real Sociedad,es La Liga,30,38.0,685,18.03,481,68,33,47,44,12,100,2.63,69,7,4,11,7,2
74, Reims,fr Ligue 1,29,38.0,577,15.18,437,39,38,24,25,14,61,1.61,32,7,4,10,4,4
75, Rennes,fr Ligue 1,32,38.0,809,21.29,574,79,46,43,53,14,79,2.08,52,9,8,3,6,1
76, Roma,it Serie A,31,38.0,866,22.79,628,67,49,59,34,29,116,3.05,83,9,8,7,7,2
77, Saint-Étienne,fr Ligue 1,40,38.0,703,18.50,441,98,56,38,47,23,64,1.68,34,8,7,8,4,3
78, Sampdoria,it Serie A,27,38.0,637,16.76,446,64,27,42,36,22,82,2.16,52,7,7,9,4,3
79, Sassuolo,it Serie A,28,38.0,858,22.58,640,57,52,38,54,17,100,2.63,65,6,5,8,15,1
80, Schalke 04,de Bundesliga,42,34.0,467,13.74,307,62,24,29,34,11,42,1.24,30,4,2,2,2,2
81, Sevilla,es La Liga,26,38.0,791,20.82,604,57,53,29,32,16,85,2.24,63,4,7,5,4,2
82, Sheffield Utd,eng Premier League,27,38.0,497,13.08,376,41,30,23,16,11,25,0.66,15,2,2,3,3,0
83, Southampton,eng Premier League,29,38.0,632,16.63,439,55,44,31,45,18,80,2.11,47,7,7,7,9,3
84, Spezia,it Serie A,35,38.0,573,15.08,412,45,33,39,27,17,77,2.03,48,6,4,12,6,1
85, Strasbourg,fr Ligue 1,26,38.0,609,16.03,401,73,35,47,36,17,71,1.87,44,5,3,11,6,2
86, Stuttgart,de Bundesliga,29,34.0,752,22.12,531,71,44,44,42,20,98,2.88,64,7,7,7,9,4
87, Torino,it Serie A,29,38.0,691,18.18,441,72,40,48,62,28,76,2.00,44,6,2,12,9,3
88, Tottenham,eng Premier League,24,38.0,716,18.84,498,53,50,36,57,22,110,2.89,78,6,10,7,6,3
89, Udinese,it Serie A,33,38.0,622,16.37,450,53,41,27,36,15,74,1.95,50,4,8,4,5,3
90, Union Berlin,de Bundesliga,27,34.0,594,17.47,421,64,26,29,37,17,85,2.50,58,8,3,4,8,4
91, Valencia,es La Liga,30,38.0,610,16.05,435,49,43,24,48,11,85,2.24,57,8,6,5,8,1
92, Valladolid,es La Liga,32,38.0,568,14.95,412,45,28,21,49,13,52,1.37,34,2,4,3,8,1
93, Villarreal,es La Liga,29,38.0,682,17.95,530,38,48,23,34,9,96,2.53,67,3,11,7,7,1
94, Werder Bremen,de Bundesliga,27,34.0,537,15.79,379,53,29,29,37,10,58,1.71,39,7,0,4,5,3
95, West Brom,eng Premier League,30,38.0,504,13.26,355,57,29,22,33,8,58,1.53,42,3,1,4,5,396, West Ham,eng Premier League,24,38.0,728,19.16,505,83,31,50,51,8,94,2.47,59,13,0,15,7,097, Wolfsburg,de Bundesliga,26,34.0,702,20.65,517,59,30,43,35,18,94,2.76,70,4,4,9,5,298, Wolves,eng Premier League,27,38.0,748,19.68,506,71,66,38,46,21,56,1.47,31,4,8,8,5,0
