,,,,,Standard,,,,,,,,,,,Expected,,,,,
13, Betis,es La Liga,25,38.0,50,437,144,33.0,11.50,3.79,0.10,0.29,18.3,16,8,11,46.0,37.8,0.09,+4.0,+4.2
14, Bologna,it Serie A,37,38.0,49,496,177,35.7,13.05,4.66,0.09,0.26,17.7,24,3,4,53.4,50.5,0.11,-4.4,-4.5
15, Bordeaux,fr Ligue 1,28,38.0,41,413,138,33.4,10.87,3.63,0.09,0.27,17.1,20,4,4,41.9,38.9,0.10,-0.9,-1.9
16, Brest,fr Ligue 1,26,38.0,47,444,157,35.4,11.68,4.13,0.10,0.28,16.7,22,3,4,47.5,44.4,0.10,-0.5,-0.4
17, Brighton,eng Premier League,27,38.0,39,476,129,27.1,12.53,3.39,0.07,0.26,16.6,14,6,9,51.6,44.8,0.10,-12.6,-11.8
18, Burnley,eng Premier League,25,38.0,32,383,125,32.6,10.08,3.29,0.08,0.23,16.6,15,3,3,39.9,37.6,0.10,-7.9,-8.6
19, Cádiz,es La Liga,34,38.0,33,301,97,32.2,7.92,2.55,0.10,0.30,16.9,13,4,4,34.0,31.0,0.11,-1.0,-2.0
20, Cagliari,it Serie A,32,38.0,43,431,123,28.5,11.34,3.24,0.09,0.32,16.4,13,4,5,45.5,41.8,0.10,-2.5,-2.8
21, Celta Vigo,es La Liga,30,38.0,55,349,137,39.3,9.18,3.61,0.14,0.35,16.6,12,7,7,47.7,42.4,0.12,+7.3,+5.6
22, Chelsea,eng Premier League,27,38.0,56,553,194,35.1,14.55,5.11,0.09,0.25,16.3,16,8,10,64.0,56.4,0.10,-8.0,-8.4
23, Crotone,it Serie A,31,38.0,44,354,111,31.4,9.32,2.92,0.10,0.32,18.2,16,9,9,38.5,31.8,0.09,+5.5,+3.2
24, Crystal Palace,eng Premier League,24,38.0,39,346,129,37.3,9.11,3.39,0.10,0.28,16.8,18,3,4,32.4,29.5,0.09,+6.6,+6.5
25, Dijon,fr Ligue 1,33,38.0,25,346,88,25.4,9.11,2.32,0.06,0.25,17.4,9,3,5,31.5,27.7,0.08,-6.5,-5.7
26, Dortmund,de Bundesliga,26,34.0,74,489,182,37.2,14.38,5.35,0.15,0.39,16.1,14,3,7,68.6,62.9,0.13,+5.4,+8.1
27, Eibar,es La Liga,30,38.0,29,443,130,29.3,11.66,3.42,0.06,0.19,17.7,14,4,9,41.5,34.7,0.08,-12.5,-9.7
28, Eint Frankfurt,de Bundesliga,25,34.0,63,438,159,36.3,12.88,4.68,0.13,0.35,15.7,11,8,8,56.1,50.0,0.12,+6.9,+5.0
29, Elche,es La Liga,30,38.0,33,266,87,32.7,7.00,2.29,0.12,0.36,16.0,12,2,3,30.5,28.2,0.11,+2.5,+2.8
30, Everton,eng Premier League,29,38.0,45,395,144,36.5,10.39,3.79,0.10,0.28,16.4,15,4,5,47.2,43.5,0.11,-2.2,-2.5
31, Fiorentina,it Serie A,30,38.0,44,368,119,32.3,9.68,3.13,0.10,0.32,16.0,14,6,6,45.2,40.7,0.11,-1.2,-2.7
32, Freiburg,de Bundesliga,24,34.0,51,386,143,37.0,11.35,4.21,0.12,0.31,16.6,17,6,6,46.2,41.7,0.11,+4.8,+3.3
33, Fulham,eng Premier League,28,38.0,26,440,123,28.0,11.58,3.24,0.05,0.19,17.4,10,3,6,41.3,36.8,0.08,-15.3,-13.8
34, Genoa,it Serie A,34,38.0,46,344,122,35.5,9.05,3.21,0.12,0.34,17.5,10,4,4,37.8,34.8,0.10,+8.2,+7.2
35, Getafe,es La Liga,31,38.0,27,353,101,28.6,9.29,2.66,0.07,0.24,18.2,24,3,5,32.7,28.9,0.08,-5.7,-4.9
36, Granada,es La Liga,34,38.0,46,356,122,34.3,9.37,3.21,0.12,0.35,18.7,21,3,5,39.4,35.8,0.10,+6.6,+7.2
37, Hellas Verona,it Serie A,32,38.0,38,396,120,30.3,10.42,3.16,0.09,0.29,15.7,13,3,3,43.5,41.3,0.11,-5.5,-6.3
38, Hertha BSC,de Bundesliga,32,34.0,40,382,144,37.7,11.24,4.24,0.09,0.25,17.2,12,4,6,42.4,37.9,0.10,-2.4,-1.9
39, Hoffenheim,de Bundesliga,30,34.0,51,421,150,35.6,12.38,4.41,0.11,0.31,16.8,20,5,6,51.8,47.3,0.11,-0.8,-1.3
40, Huesca,es La Liga,27,38.0,32,402,130,32.3,10.58,3.42,0.07,0.22,17.8,14,3,4,35.3,32.5,0.08,-3.3,-3.5
41, Inter,it Serie A,25,38.0,84,543,197,36.3,14.29,5.18,0.14,0.39,15.5,17,8,9,74.8,68.0,0.13,+9.2,+8.0
42, Juventus,it Serie A,30,38.0,76,587,204,34.8,15.45,5.37,0.12,0.33,16.1,23,8,10,74.2,66.7,0.12,+1.8,+1.3
43, Köln,de Bundesliga,28,34.0,33,353,103,29.2,10.38,3.03,0.08,0.28,16.5,9,4,6,39.1,34.7,0.10,-6.1,-5.7
44, Lazio,it Serie A,30,38.0,59,519,174,33.5,13.66,4.58,0.10,0.30,16.5,14,6,10,59.8,52.4,0.10,-0.8,+0.6
45, Leeds United,eng Premier League,23,38.0,60,524,196,37.4,13.79,5.16,0.11,0.29,16.2,9,4,4,57.5,54.5,0.11,+2.5,+1.5
46, Leicester City,eng Premier League,27,38.0,64,472,172,36.4,12.42,4.53,0.11,0.31,18.0,20,10,12,56.0,46.9,0.10,+8.0,+7.1
47, Lens,fr Ligue 1,27,38.0,53,441,135,30.6,11.61,3.55,0.10,0.32,17.8,22,10,12,56.0,46.9,0.11,-3.0,-3.9
48, Levante,es La Liga,29,38.0,45,381,125,32.8,10.03,3.29,0.11,0.34,17.6,9,3,6,41.0,36.4,0.10,+4.0,+5.6
49, Leverkusen,de Bundesliga,30,34.0,52,447,169,37.8,13.15,4.97,0.11,0.29,17.5,12,3,3,47.2,45.0,0.10,+4.8,+4.0
50, Lille,fr Ligue 1,21,38.0,62,481,174,36.2,12.66,4.58,0.12,0.33,18.8,21,5,5,50.0,46.2,0.10,+12.0,+10.8
51, Liverpool,eng Premier League,28,38.0,65,600,201,33.5,15.79,5.29,0.10,0.29,16.2,20,6,6,72.6,68.1,0.12,-7.6,-9.1
52, Lorient,fr Ligue 1,27,38.0,48,421,133,31.6,11.08,3.50,0.09,0.29,19.5,30,9,10,48.8,41.6,0.10,-0.8,-2.6
53, Lyon,fr Ligue 1,29,38.0,76,603,222,36.8,15.87,5.84,0.11,0.29,16.6,23,11,11,84.6,76.4,0.13,-8.6,-11.4
54, M'Gladbach,de Bundesliga,23,34.0,63,441,163,37.0,12.97,4.79,0.12,0.33,16.6,10,10,11,55.2,47.0,0.11,+7.8,+6.0
55, Mainz 05,de Bundesliga,31,34.0,39,374,132,35.3,11.00,3.88,0.09,0.26,16.9,10,5,5,47.1,43.4,0.12,-8.1,-9.4
56, Manchester City,eng Premier League,24,38.0,82,590,213,36.1,15.53,5.61,0.13,0.36,16.6,21,5,9,73.3,66.6,0.12,+8.7,+10.4
57, Manchester Utd,eng Premier League,29,38.0,70,517,197,38.1,13.61,5.18,0.12,0.30,17.3,21,10,11,60.2,51.9,0.10,+9.8,+8.1
58, Marseille,fr Ligue 1,31,38.0,53,373,131,35.1,9.82,3.45,0.13,0.37,17.4,16,4,7,47.5,42.2,0.12,+5.5,+6.8
59, Metz,fr Ligue 1,27,38.0,42,423,129,30.5,11.13,3.39,0.08,0.27,20.0,30,7,11,41.3,33.2,0.08,+0.7,+1.8
60, Milan,it Serie A,29,38.0,72,538,186,34.6,14.16,4.89,0.11,0.31,17.7,29,15,20,71.2,56.6,0.11,+0.8,+0.4
61, Monaco,fr Ligue 1,30,38.0,76,474,161,34.0,12.47,4.24,0.14,0.40,16.4,18,12,15,66.9,55.4,0.12,+9.1,+8.6
62, Montpellier,fr Ligue 1,25,38.0,60,465,171,36.8,12.24,4.50,0.12,0.34,16.5,27,2,5,47.9,44.2,0.10,+12.1,+13.8
63, Nantes,fr Ligue 1,25,38.0,47,404,122,30.2,10.63,3.21,0.10,0.32,18.2,14,8,9,48.9,42.1,0.11,-1.9,-3.1
64, Napoli,it Serie A,25,38.0,83,640,220,34.4,16.84,5.79,0.12,0.35,17.4,25,7,8,67.7,61.5,0.10,+15.3,+14.5
65, Newcastle Utd,eng Premier League,27,38.0,44,387,130,33.6,10.18,3.42,0.10,0.29,17.5,24,6,7,41.0,35.5,0.09,+3.0,+2.5
66, Nice,fr Ligue 1,31,38.0,49,400,141,35.3,10.53,3.71,0.11,0.30,17.0,17,7,7,46.9,41.7,0.11,+2.1,+0.3
67, Nîmes,fr Ligue 1,34,38.0,40,383,132,34.5,10.08,3.47,0.09,0.25,18.1,17,7,8,41.4,35.8,0.09,-1.4,-2.8
68, Osasuna,es La Liga,28,38.0,36,372,117,31.5,9.79,3.08,0.08,0.26,18.1,7,5,6,37.6,33.2,0.09,-1.6,-2.2
69, Paris S-G,fr Ligue 1,33,38.0,85,559,203,36.3,14.71,5.34,0.13,0.36,16.3,33,12,13,82.4,73.1,0.13,+2.6,-0.1
70, Parma,it Serie A,42,38.0,39,397,121,30.5,10.45,3.18,0.09,0.28,17.3,20,5,5,40.0,36.2,0.09,-1.0,-2.2
71, RB Leipzig,de Bundesliga,25,34.0,59,532,189,35.5,15.65,5.56,0.10,0.27,16.5,18,8,10,65.3,58.0,0.11,-6.3,-7.0
72, Real Madrid,es La Liga,30,38.0,64,553,166,30.0,14.55,4.37,0.11,0.37,17.0,17,3,3,61.6,59.4,0.11,+2.4,+1.6
73, Real Sociedad,es La Liga,30,38.0,58,418,139,33.3,11.00,3.66,0.12,0.35,16.0,20,9,12,60.4,51.6,0.13,-2.4,-2.6
74, Reims,fr Ligue 1,29,38.0,39,359,120,33.4,9.45,3.16,0.09,0.28,19.0,15,5,5,33.3,29.7,0.08,+5.7,+4.3
75, Rennes,fr Ligue 1,32,38.0,50,509,160,31.4,13.39,4.21,0.09,0.29,17.6,32,3,3,50.0,47.7,0.09,0.0,-0.7
76, Roma,it Serie A,31,38.0,67,539,192,35.6,14.18,5.05,0.11,0.31,16.2,14,7,8,68.9,62.9,0.12,-1.9,-2.9
77, Saint-Étienne,fr Ligue 1,40,38.0,40,436,141,32.3,11.47,3.71,0.08,0.24,17.8,17,6,9,48.2,41.4,0.10,-8.2,-7.4
78, Sampdoria,it Serie A,27,38.0,52,422,137,32.5,11.11,3.61,0.11,0.34,17.0,11,5,6,46.2,41.7,0.10,+5.8,+5.3
79, Sassuolo,it Serie A,28,38.0,61,517,166,32.1,13.61,4.37,0.09,0.29,17.8,25,13,14,59.2,48.8,0.10,+1.8,-0.8
80, Schalke 04,de Bundesliga,42,34.0,24,306,83,27.1,9.00,2.44,0.08,0.29,17.3,11,0,3,27.0,24.5,0.08,-3.0,-0.5
81, Sevilla,es La Liga,26,38.0,52,452,136,30.1,11.89,3.58,0.10,0.34,16.7,14,6,7,50.9,45.6,0.10,+1.1,+0.4
82, Sheffield Utd,eng Premier League,27,38.0,19,319,92,28.8,8.39,2.42,0.05,0.17,16.8,5,3,4,31.4,28.4,0.09,-12.4,-12.4
83, Southampton,eng Premier League,29,38.0,47,417,157,37.6,10.97,4.13,0.10,0.27,17.6,20,5,6,42.4,37.9,0.09,+4.6,+4.1
84, Spezia,it Serie A,35,38.0,52,382,130,34.0,10.05,3.42,0.13,0.37,16.2,10,4,5,46.7,42.9,0.12,+5.3,+5.1
85, Strasbourg,fr Ligue 1,26,38.0,49,421,126,29.9,11.08,3.32,0.09,0.31,18.1,16,10,12,52.6,43.3,0.11,-3.6,-4.3
86, Stuttgart,de Bundesliga,29,34.0,54,450,153,34.0,13.24,4.50,0.11,0.31,16.8,12,6,8,53.2,47.1,0.11,+0.8,+0.9
87, Torino,it Serie A,29,38.0,49,455,144,31.6,11.97,3.79,0.10,0.31,16.7,38,5,6,50.2,45.5,0.10,-1.2,-1.5
88, Tottenham,eng Premier League,24,38.0,66,442,166,37.6,11.63,4.37,0.14,0.37,17.2,35,5,5,54.5,50.7,0.12,+11.5,+10.3
89, Udinese,it Serie A,33,38.0,40,409,125,30.6,10.76,3.29,0.09,0.29,17.3,13,4,4,42.9,40.1,0.10,-2.9,-4.1
90, Union Berlin,de Bundesliga,27,34.0,50,388,134,34.5,11.41,3.94,0.12,0.34,16.7,8,5,7,45.8,40.4,0.11,+4.2,+4.6
91, Valencia,es La Liga,30,38.0,48,381,128,33.6,10.03,3.37,0.10,0.31,19.4,32,8,10,43.9,36.4,0.10,+4.1,+3.6
92, Valladolid,es La Liga,32,38.0,34,359,110,30.6,9.45,2.89,0.08,0.25,18.0,24,7,8,37.1,31.2,0.08,-4.1,-5.2
93, Villarreal,es La Liga,29,38.0,57,394,149,37.8,10.37,3.92,0.11,0.30,16.5,13,12,13,58.0,48.3,0.12,-1.0,-3.3
94, Werder Bremen,de Bundesliga,27,34.0,35,362,119,32.9,10.65,3.50,0.08,0.25,18.0,14,5,5,33.8,30.0,0.09,+1.2,0.0
95, West Brom,eng Premier League,30,38.0,33,336,107,31.8,8.84,2.82,0.09,0.27,17.6,16,4,4,33.8,30.7,0.09,-0.8,-1.796, West Ham,eng Premier League,24,38.0,60,462,158,34.2,12.16,4.16,0.13,0.37,15.4,16,2,4,53.9,50.7,0.11,+6.1,+7.397, Wolfsburg,de Bundesliga,26,34.0,57,475,162,34.1,13.97,4.76,0.12,0.34,17.3,14,2,3,49.5,47.4,0.10,+7.5,+7.698, Wolves,eng Premier League,27,38.0,34,462,149,32.3,12.16,3.92,0.06,0.20,17.7,14,4,4,39.9,36.8,0.08,-5.9,-6.8
