,,,,,,Touches,,,,,,,Dribbles,,,,,Carries,,,,,,,Receiving,,,,
36, Granada,es La Liga,34,41.0,38.0,17330,2281,6088,8030,4101,610,15429,308,527,58.4,327,32,9202,47365,24964,948,269,94,385,388,12192,9247,75.8,918
37, Hellas Verona,it Serie A,32,49.8,38.0,22053,2381,6880,10789,5670,829,20228,315,524,60.1,347,24,13052,68876,37238,1454,498,130,448,412,16539,13339,80.7,1321
38, Hertha BSC,de Bundesliga,32,49.4,34.0,20185,2313,7746,9310,4456,738,18494,335,566,59.2,367,14,12614,71496,38339,1294,387,148,389,446,15260,12623,82.7,1080
39, Hoffenheim,de Bundesliga,30,51.1,34.0,22139,2471,7672,10388,5541,834,20466,346,600,57.7,377,25,14093,72987,39360,1428,440,116,512,420,17106,14462,84.5,1363
40, Huesca,es La Liga,27,48.3,38.0,21468,2676,8287,10018,4683,659,19618,444,692,64.2,481,27,13535,75972,41321,1512,452,107,456,390,16319,13636,83.6,993
41, Inter,it Serie A,25,52.4,38.0,25451,2674,8241,11970,6860,1122,23885,261,447,58.4,279,18,17109,88944,49923,1926,544,193,460,353,20894,18514,88.6,1557
42, Juventus,it Serie A,30,57.1,38.0,27094,2816,8480,13443,6945,1189,25535,412,629,65.5,428,27,18577,98438,53812,2085,625,263,425,418,22414,19971,89.1,1585
43, Köln,de Bundesliga,28,46.3,34.0,19811,2514,7840,8652,4456,589,18138,273,461,59.2,299,13,11369,58490,30243,1052,316,72,470,387,14808,12038,81.3,1007
44, Lazio,it Serie A,30,53.1,38.0,24942,2784,8266,11851,6576,988,23349,317,546,58.1,349,22,16236,94927,52732,1904,622,146,476,408,19826,17098,86.2,1490
45, Leeds United,eng Premier League,23,57.6,38.0,24596,3071,9481,10576,6094,985,22781,321,559,57.4,351,35,15013,85599,48249,1648,509,157,504,410,19143,15996,83.6,1440
46, Leicester City,eng Premier League,27,54.6,38.0,25031,2426,8195,12125,6207,838,23368,350,629,55.6,379,29,15999,79828,42854,1679,505,135,467,429,19730,16726,84.8,1277
47, Lens,fr Ligue 1,27,51.4,38.0,23406,2248,7274,12308,5418,755,21620,376,620,60.6,397,16,14685,84099,49510,1872,470,110,504,463,18072,15307,84.7,1452
48, Levante,es La Liga,29,52.4,38.0,21997,2608,7918,10237,5189,761,20241,388,646,60.1,430,29,13915,70482,38470,1450,463,113,422,429,16864,14182,84.1,1324
49, Leverkusen,de Bundesliga,30,59.9,34.0,25589,2494,8179,13375,5846,845,24010,467,765,61.0,496,27,17737,89304,47518,1706,533,172,493,446,20664,18002,87.1,1388
50, Lille,fr Ligue 1,21,53.9,38.0,26131,2083,7434,13846,6538,820,24406,391,671,58.3,417,29,17088,85177,46429,1973,534,149,473,506,20916,18028,86.2,1572
51, Liverpool,eng Premier League,28,62.4,38.0,29822,2223,7936,14808,8910,1372,28088,421,703,59.9,457,28,20288,98263,53343,2281,695,230,482,449,24736,21527,87.0,1949
52, Lorient,fr Ligue 1,27,44.6,38.0,21699,2127,7652,10922,4440,571,19860,314,544,57.7,343,14,13064,63696,35272,1329,412,98,549,482,16014,13403,83.7,1094
53, Lyon,fr Ligue 1,29,54.9,38.0,25826,2292,7318,13057,7071,1193,24046,482,775,62.2,518,30,16970,86470,50014,2093,586,216,511,477,20543,17819,86.7,1775
54, M'Gladbach,de Bundesliga,23,51.9,34.0,22941,2481,8008,11396,4878,838,21323,319,502,63.5,334,14,14578,69604,39080,1492,403,164,433,403,17676,15337,86.8,1309
55, Mainz 05,de Bundesliga,31,40.5,34.0,17919,2312,6633,7902,4371,713,16233,288,483,59.6,314,18,9788,50994,27750,942,312,105,452,379,12574,9679,77.0,1010
56, Manchester City,eng Premier League,24,63.9,38.0,30525,2142,7108,16433,9082,1360,29002,485,807,60.1,518,33,22043,117299,67025,3044,809,314,378,418,26077,23578,90.4,1661
57, Manchester Utd,eng Premier League,29,55.8,38.0,26392,2392,8046,12262,7891,1043,24709,424,733,57.8,460,35,17172,94013,53179,2196,676,180,422,468,21335,18495,86.7,1520
58, Marseille,fr Ligue 1,31,53.9,38.0,24777,2583,8236,12872,5137,709,22888,341,585,58.3,368,17,15585,76443,42510,1649,401,134,429,453,19689,16646,84.5,1231
59, Metz,fr Ligue 1,27,45.3,38.0,21596,2305,7846,10639,4610,610,19876,436,724,60.2,468,23,13406,75863,41114,1544,527,110,533,527,15948,13269,83.2,1030
60, Milan,it Serie A,29,51.9,38.0,23883,2621,7876,11304,6269,1030,22240,430,666,64.6,450,19,15342,85593,47450,1748,553,176,469,381,18711,16046,85.8,1343
61, Monaco,fr Ligue 1,30,56.0,38.0,26168,2231,7778,13635,6432,1030,24329,340,547,62.2,359,14,17144,89125,49959,1897,497,151,467,475,20995,17905,85.3,1589
62, Montpellier,fr Ligue 1,25,45.3,38.0,20905,2434,7479,9743,5026,780,19032,315,580,54.3,343,30,12121,66958,36698,1368,410,111,487,427,15643,12879,82.3,1209
63, Nantes,fr Ligue 1,25,43.7,38.0,21131,2050,6517,10489,5291,772,19243,409,742,55.1,451,22,12351,61352,33742,1415,401,153,459,497,15479,12440,80.4,1157
64, Napoli,it Serie A,25,55.2,38.0,26110,2488,7995,12846,6955,1089,24357,360,589,61.1,380,36,17699,92736,50918,2107,579,246,375,341,21413,18947,88.5,1439
65, Newcastle Utd,eng Premier League,27,38.2,38.0,18589,2672,7557,7582,4511,637,16830,352,577,61.0,379,20,10688,53725,27978,1015,355,116,391,388,13307,10617,79.8,779
66, Nice,fr Ligue 1,31,54.5,38.0,25774,2831,9463,12605,5558,795,24034,424,725,58.5,452,34,17716,98632,55661,1973,497,141,479,479,20775,18220,87.7,1314
67, Nîmes,fr Ligue 1,34,44.4,38.0,21292,2708,8390,9456,4767,681,19294,364,644,56.5,397,25,12814,66048,36840,1182,329,111,463,463,15872,12874,81.1,1087
68, Osasuna,es La Liga,28,43.1,38.0,19064,2255,6104,9171,4694,684,17261,247,458,53.9,278,26,9946,48053,24365,923,289,71,469,362,13638,10415,76.4,1053
69, Paris S-G,fr Ligue 1,33,63.5,38.0,30233,2232,7686,16144,8417,1185,28673,517,903,57.3,559,62,21883,102861,57959,2467,735,216,446,455,25387,23091,91.0,1711
70, Parma,it Serie A,42,47.7,38.0,22540,3003,8485,10825,4666,715,20819,353,560,63.0,381,28,13609,74055,40680,1401,394,111,455,385,17608,14930,84.8,1211
71, RB Leipzig,de Bundesliga,25,60.0,34.0,25376,1989,6972,13158,6795,1062,23776,328,552,59.4,359,14,16865,82561,44289,1837,526,156,427,450,20574,17673,85.9,1636
72, Real Madrid,es La Liga,30,59.7,38.0,28066,2554,8336,13444,8171,1140,26345,460,720,63.9,484,29,19620,104246,56159,2331,712,231,429,346,23361,20825,89.1,1541
73, Real Sociedad,es La Liga,30,55.1,38.0,22728,2327,6904,11503,5747,929,20932,323,538,60.0,348,14,14687,77725,42399,1632,458,123,429,394,17775,14976,84.3,1344
74, Reims,fr Ligue 1,29,44.8,38.0,21476,2761,8562,9921,4541,634,19720,389,616,63.1,415,14,13814,76196,42847,1518,502,128,485,447,16298,13704,84.1,1091
75, Rennes,fr Ligue 1,32,59.5,38.0,28083,2102,7674,15095,7016,969,26248,402,675,59.6,441,11,18580,90049,49619,2105,590,150,467,438,22965,20158,87.8,1599
76, Roma,it Serie A,31,52.5,38.0,24293,2478,7615,12352,6029,984,22680,382,642,59.5,415,27,16574,94357,51344,2044,610,222,394,336,19637,17066,86.9,1394
77, Saint-Étienne,fr Ligue 1,40,48.3,38.0,22484,2293,8111,11044,4815,743,20508,475,849,55.9,526,34,13791,74972,40857,1435,408,105,519,532,16676,13803,82.8,1052
78, Sampdoria,it Serie A,27,45.1,38.0,21871,2724,7681,10003,5437,776,20033,271,470,57.7,291,19,12922,66533,35516,1305,417,116,461,354,16759,13561,80.9,1228
79, Sassuolo,it Serie A,28,60.8,38.0,27926,3004,8672,14167,6909,984,26273,405,684,59.2,434,39,19491,99222,55710,2095,598,171,416,437,22987,20547,89.4,1444
80, Schalke 04,de Bundesliga,42,44.6,34.0,18946,2716,7904,8674,3543,557,17258,364,630,57.8,400,19,11265,58431,29902,1018,297,88,472,446,13843,11269,81.4,929
81, Sevilla,es La Liga,26,61.2,38.0,26770,2724,8625,13051,6490,863,25065,402,599,67.1,424,22,18073,82776,43783,1781,478,139,448,411,21992,19429,88.3,1323
82, Sheffield Utd,eng Premier League,27,41.5,38.0,20178,2446,6666,8651,5985,703,18557,302,512,59.0,332,28,11343,58979,31782,1211,384,97,411,389,14805,12057,81.4,1024
83, Southampton,eng Premier League,29,52.2,38.0,23420,2440,7993,11611,5273,793,21630,367,631,58.2,395,15,13917,71626,38066,1511,482,130,467,454,17833,14758,82.8,1112
84, Spezia,it Serie A,35,52.2,38.0,22438,2615,7656,10938,5262,816,20823,281,451,62.3,306,14,14151,78529,40338,1509,437,165,493,372,17895,15021,83.9,1152
85, Strasbourg,fr Ligue 1,26,45.6,38.0,21374,2201,7284,10417,5010,783,19537,324,550,58.9,347,16,13247,69356,36495,1308,414,102,507,445,16171,13300,82.2,1156
86, Stuttgart,de Bundesliga,29,51.5,34.0,22009,2702,7891,10504,5116,839,20332,454,731,62.1,493,29,14090,75636,41681,1578,493,147,519,486,16743,14259,85.2,1302
87, Torino,it Serie A,29,47.2,38.0,21427,2549,7578,10211,5038,733,19575,372,641,58.0,394,15,13558,71855,38337,1370,465,94,433,384,16218,13471,83.1,980
88, Tottenham,eng Premier League,24,51.7,38.0,24321,2708,8302,12150,5317,770,22574,408,673,60.6,435,34,15374,74651,39501,1550,468,135,369,467,19068,16142,84.7,1208
89, Udinese,it Serie A,33,46.1,38.0,21669,2498,7500,9971,5638,839,19994,383,593,64.6,408,22,14198,75818,41730,1577,505,119,455,451,16753,14149,84.5,1195
90, Union Berlin,de Bundesliga,27,44.9,34.0,19755,2263,7614,9103,4242,613,18189,200,358,55.9,219,17,11321,61208,31688,1069,365,100,458,365,14934,12041,80.6,1022
91, Valencia,es La Liga,30,46.9,38.0,20585,2781,7585,9551,4775,624,18781,302,525,57.5,338,15,12310,67993,37595,1428,441,95,416,368,15623,12953,82.9,1092
92, Valladolid,es La Liga,32,45.1,38.0,19328,2335,6640,9124,4673,589,17437,268,497,53.9,293,19,10967,58006,29861,1184,390,98,384,364,13937,11133,79.9,900
93, Villarreal,es La Liga,29,55.6,38.0,25048,2729,8270,12600,5884,907,23309,456,717,63.6,488,36,16883,88034,49668,1869,541,168,447,407,20182,17601,87.2,1412
94, Werder Bremen,de Bundesliga,27,43.8,34.0,19641,2454,7550,9163,3974,568,17938,237,435,54.5,258,21,11312,55492,29399,1031,295,74,412,359,14513,11769,81.1,1014
95, West Brom,eng Premier League,30,37.6,38.0,18234,2692,6755,7837,4511,653,16495,294,534,55.1,319,21,9646,49732,25174,955,283,108,459,427,12638,9743,77.1,91296, West Ham,eng Premier League,24,42.9,38.0,20537,2423,6846,9450,5500,828,18875,325,546,59.5,348,25,12116,68476,34759,1376,451,143,383,380,15380,12533,81.5,101497, Wolfsburg,de Bundesliga,26,51.4,34.0,21519,2255,7029,10544,5292,809,19912,282,462,61.0,314,19,12998,68367,36910,1380,452,117,450,429,16162,13255,82.0,131498, Wolves,eng Premier League,27,49.3,38.0,22963,2287,7494,11331,5635,759,21244,496,779,63.7,537,29,14457,76002,42595,1794,544,183,453,394,17784,15234,85.7,1077
