,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,
15, Bordeaux,fr Ligue 1,28,38.0,16031,19434,82.5,315078,102148,6502,7244,89.8,6861,7779,88.2,2394,3730,64.2,32,30.2,+1.8,308,902,200,64,995
16, Brest,fr Ligue 1,26,38.0,15584,19278,80.8,319837,105090,5645,6480,87.1,6966,7959,87.5,2682,4136,64.8,31,33.7,-2.7,339,1060,306,115,1219
17, Brighton,eng Premier League,27,38.0,15598,19456,80.2,316711,97708,5744,6604,87.0,7143,8163,87.5,2475,4033,61.4,24,33.0,-9.0,349,1084,381,91,1252
18, Burnley,eng Premier League,25,38.0,10644,15043,70.8,220877,86521,4419,5198,85.0,3913,4932,79.3,2038,4244,48.0,20,27.1,-7.1,267,881,283,84,943
19, Cádiz,es La Liga,34,38.0,8053,11925,67.5,178284,72914,3052,3738,81.6,3123,4036,77.4,1711,3608,47.4,16,19.0,-3.0,193,651,160,64,652
20, Cagliari,it Serie A,32,38.0,13160,16793,78.4,260093,90837,5129,5929,86.5,5796,6853,84.6,1991,3371,59.1,30,30.6,-0.6,302,898,296,91,1059
21, Celta Vigo,es La Liga,30,38.0,15277,19156,79.8,296823,92941,6094,6964,87.5,6651,7654,86.9,2216,3782,58.6,39,33.2,+5.8,253,923,265,50,1148
22, Chelsea,eng Premier League,27,38.0,21646,25151,86.1,408322,115504,8896,9759,91.2,9751,10706,91.1,2665,3901,68.3,38,42.4,-4.4,443,1440,393,80,1528
23, Crotone,it Serie A,31,38.0,13666,17170,79.6,270786,95385,5103,5831,87.5,6352,7321,86.8,1967,3396,57.9,27,24.5,+2.5,264,812,239,65,1075
24, Crystal Palace,eng Premier League,24,38.0,11391,15090,75.5,214516,83423,5030,5888,85.4,4484,5419,82.7,1578,3057,51.6,29,20.9,+8.1,248,781,244,59,974
25, Dijon,fr Ligue 1,33,38.0,14134,17866,79.1,281152,97095,5457,6246,87.4,6161,7148,86.2,2262,3836,59.0,15,20.3,-5.3,252,877,195,55,1036
26, Dortmund,de Bundesliga,26,34.0,18983,22343,85.0,370199,109874,7546,8442,89.4,8323,9219,90.3,2807,3928,71.5,57,51.0,+6.0,374,1293,422,62,1528
27, Eibar,es La Liga,30,38.0,11903,16701,71.3,258509,94793,4489,5358,83.8,4780,6058,78.9,2421,4631,52.3,20,26.2,-6.2,298,1098,263,109,1074
28, Eint Frankfurt,de Bundesliga,25,34.0,14409,18416,78.2,281703,102287,5721,6632,86.3,6353,7489,84.8,2089,3578,58.4,52,43.1,+8.9,351,1087,309,110,1421
29, Elche,es La Liga,30,38.0,13601,16952,80.2,275052,94634,5286,5950,88.8,5825,6616,88.0,2210,3724,59.3,25,21.9,+3.1,189,785,154,76,785
30, Everton,eng Premier League,29,38.0,14670,18248,80.4,298495,98778,5538,6304,87.8,6477,7377,87.8,2372,3845,61.7,32,32.9,-0.9,297,968,261,68,1072
31, Fiorentina,it Serie A,30,38.0,13589,17076,79.6,272797,90816,5253,5998,87.6,5914,6849,86.3,2184,3584,60.9,31,30.5,+0.5,262,1059,264,104,1117
32, Freiburg,de Bundesliga,24,34.0,12336,15907,77.6,262645,91002,4099,4824,85.0,5827,6768,86.1,2227,3704,60.1,34,29.2,+4.8,285,828,255,89,1076
33, Fulham,eng Premier League,28,38.0,15183,18859,80.5,303251,96436,5675,6456,87.9,6921,7859,88.1,2312,3832,60.3,18,27.8,-9.8,335,991,311,100,1141
34, Genoa,it Serie A,34,38.0,14014,17793,78.8,277555,90606,5637,6382,88.3,5930,6961,85.2,2193,3798,57.7,32,25.1,+6.9,252,884,229,65,994
35, Getafe,es La Liga,31,38.0,9016,13415,67.2,191028,80034,3662,4539,80.7,3349,4517,74.1,1771,3711,47.7,14,20.3,-6.3,250,869,238,97,942
36, Granada,es La Liga,34,38.0,9247,13166,70.2,197930,77964,3470,4204,82.5,3890,4871,79.9,1736,3519,49.3,30,23.8,+6.2,216,787,188,59,855
37, Hellas Verona,it Serie A,32,38.0,13339,17708,75.3,257956,87378,5448,6411,85.0,5714,6907,82.7,1898,3649,52.0,30,31.1,-1.1,297,1008,318,68,1288
38, Hertha BSC,de Bundesliga,32,34.0,12623,16027,78.8,278139,88471,3797,4508,84.2,6060,6944,87.3,2609,4017,64.9,29,29.8,-0.8,276,846,232,72,1047
39, Hoffenheim,de Bundesliga,30,34.0,14462,18016,80.3,291188,99858,5356,6153,87.0,6515,7469,87.2,2304,3636,63.4,38,35.9,+2.1,313,1061,342,99,1337
40, Huesca,es La Liga,27,38.0,13636,17400,78.4,280112,89385,5017,5749,87.3,6121,7069,86.6,2294,3987,57.5,23,23.8,-0.8,289,847,232,88,957
41, Inter,it Serie A,25,38.0,18514,21593,85.7,357767,106101,7261,8022,90.5,8396,9283,90.4,2542,3548,71.6,62,53.4,+8.6,409,1349,430,105,1528
42, Juventus,it Serie A,30,38.0,19971,23047,86.7,392140,115399,7400,8192,90.3,9422,10266,91.8,2860,3915,73.1,59,51.4,+7.6,456,1438,378,93,1555
43, Köln,de Bundesliga,28,34.0,12038,15705,76.7,251568,91402,4229,5011,84.4,5315,6263,84.9,2223,3735,59.5,23,24.6,-1.6,253,829,225,84,985
44, Lazio,it Serie A,30,38.0,17098,20724,82.5,340624,110740,6474,7369,87.9,7443,8436,88.2,2813,4156,67.7,40,40.2,-0.2,388,1428,420,110,1469
45, Leeds United,eng Premier League,23,38.0,15996,20042,79.8,318521,104029,6052,6930,87.3,7236,8287,87.3,2454,4047,60.6,45,42.5,+2.5,390,1111,372,87,1409
46, Leicester City,eng Premier League,27,38.0,16726,20572,81.3,316778,96218,6923,7840,88.3,7382,8362,88.3,2163,3648,59.3,45,33.1,+11.9,347,1164,304,64,1247
47, Lens,fr Ligue 1,27,38.0,15307,18909,81.0,308555,97896,5725,6569,87.2,6915,7912,87.4,2420,3774,64.1,35,34.7,+0.3,321,1103,278,95,1399
48, Levante,es La Liga,29,38.0,14205,17794,79.8,283772,97786,5592,6330,88.3,6061,6963,87.0,2310,3833,60.3,35,28.5,+6.5,272,1052,317,99,1334
49, Leverkusen,de Bundesliga,30,34.0,18002,21523,83.6,361120,109753,6668,7431,89.7,8174,9110,89.7,2901,4305,67.4,41,33.8,+7.2,347,1228,288,76,1344
50, Lille,fr Ligue 1,21,38.0,18028,21792,82.7,344587,108204,7593,8448,89.9,7616,8655,88.0,2484,3920,63.4,39,36.1,+2.9,358,1482,271,64,1527
51, Liverpool,eng Premier League,28,38.0,21527,25527,84.3,421366,125570,8395,9322,90.1,9732,10782,90.3,3072,4602,66.8,43,50.0,-7.0,444,1742,552,98,1914
52, Lorient,fr Ligue 1,27,38.0,13403,17013,78.8,261367,89994,5452,6195,88.0,5709,6642,86.0,2001,3525,56.8,26,31.2,-5.2,286,853,200,59,1040
53, Lyon,fr Ligue 1,29,38.0,17819,21299,83.7,341108,114598,7383,8248,89.5,7564,8601,87.9,2531,3681,68.8,46,55.0,-9.0,443,1391,423,76,1739
54, M'Gladbach,de Bundesliga,23,34.0,15337,18808,81.5,292692,97134,6331,7156,88.5,6632,7619,87.0,2094,3321,63.1,44,34.6,+9.4,323,960,269,60,1259
55, Mainz 05,de Bundesliga,31,34.0,9679,13642,71.0,196417,77998,3595,4448,80.8,4252,5374,79.1,1628,3160,51.5,23,34.7,-11.7,272,713,223,63,981
56, Manchester City,eng Premier League,24,38.0,23578,26689,88.3,442810,115350,9849,10630,92.7,10407,11258,92.4,2957,3997,74.0,55,51.0,+4.0,439,1833,447,46,1633
57, Manchester Utd,eng Premier League,29,38.0,18495,21960,84.2,343759,103853,8082,8927,90.5,7765,8682,89.4,2316,3499,66.2,51,40.5,+10.5,402,1364,397,65,1502
58, Marseille,fr Ligue 1,31,38.0,16646,20480,81.3,317553,103496,7071,7962,88.8,6968,7949,87.7,2266,3781,59.9,45,34.5,+10.5,286,1153,235,55,1231
59, Metz,fr Ligue 1,27,38.0,13269,16773,79.1,269761,90255,5103,5815,87.8,5788,6716,86.2,2173,3713,58.5,28,25.6,+2.4,308,880,203,66,963
60, Milan,it Serie A,29,38.0,16046,19490,82.3,307704,99628,6451,7273,88.7,7021,7971,88.1,2222,3480,63.9,47,43.4,+3.6,392,1165,360,83,1343
61, Monaco,fr Ligue 1,30,38.0,17905,21885,81.8,358198,108456,6464,7359,87.8,8383,9500,88.2,2706,4241,63.8,52,44.7,+7.3,369,1321,376,81,1521
62, Montpellier,fr Ligue 1,25,38.0,12879,16555,77.8,277225,103048,4619,5382,85.8,5372,6350,84.6,2666,4188,63.7,42,30.7,+11.3,324,974,269,111,1151
63, Nantes,fr Ligue 1,25,38.0,12440,16380,75.9,241957,86586,5109,5919,86.3,5282,6392,82.6,1784,3397,52.5,28,26.7,+1.3,276,1048,188,56,1101
64, Napoli,it Serie A,25,38.0,18947,22092,85.8,360233,108215,7993,8758,91.3,7872,8737,90.1,2734,3825,71.5,56,45.5,+10.5,480,1335,378,78,1431
65, Newcastle Utd,eng Premier League,27,38.0,10617,14220,74.7,216780,78025,4270,4949,86.3,4306,5161,83.4,1836,3503,52.4,26,26.1,-0.1,272,693,216,74,759
66, Nice,fr Ligue 1,31,38.0,18220,21525,84.6,343395,101213,7444,8261,90.1,8193,9051,90.5,2258,3495,64.6,26,26.3,-0.3,270,1166,248,71,1275
67, Nîmes,fr Ligue 1,34,38.0,12874,16683,77.2,268417,89948,4714,5464,86.3,5563,6510,85.5,2323,4030,57.6,26,27.3,-1.3,270,843,220,61,1029
68, Osasuna,es La Liga,28,38.0,10415,14861,70.1,229745,97901,3934,4899,80.3,4139,5375,77.0,2146,3958,54.2,25,23.4,+1.6,257,953,257,96,1029
69, Paris S-G,fr Ligue 1,33,38.0,23091,26067,88.6,401344,121576,11157,11962,93.3,9227,10116,91.2,2279,3183,71.6,52,54.6,-2.6,407,1751,448,93,1685
70, Parma,it Serie A,42,38.0,14930,18327,81.5,318853,105526,5157,5857,88.0,6716,7641,87.9,2851,4234,67.3,26,28.6,-2.6,289,1017,249,83,1193
71, RB Leipzig,de Bundesliga,25,34.0,17673,21371,82.7,328704,106196,7379,8336,88.5,7779,8853,87.9,2171,3386,64.1,44,44.7,-0.7,408,1410,410,79,1588
72, Real Madrid,es La Liga,30,38.0,20825,24054,86.6,399432,116529,9030,9780,92.3,8317,9124,91.2,3132,4316,72.6,53,46.2,+6.8,437,1573,440,95,1521
73, Real Sociedad,es La Liga,30,38.0,14976,18740,79.9,292109,93375,5949,6823,87.2,6608,7639,86.5,2152,3537,60.8,39,39.2,-0.2,299,1072,357,60,1271
74, Reims,fr Ligue 1,29,38.0,13704,17171,79.8,285192,90059,4818,5534,87.1,6293,7189,87.5,2390,3931,60.8,23,20.9,+2.1,270,865,205,57,1048
75, Rennes,fr Ligue 1,32,38.0,20158,23827,84.6,387811,119220,8259,9195,89.8,8740,9714,90.0,2845,4166,68.3,39,37.5,+1.5,376,1496,322,87,1567
76, Roma,it Serie A,31,38.0,17066,20471,83.4,340976,102007,6286,7128,88.2,8044,8912,90.3,2533,3819,66.3,51,49.2,+1.8,394,1253,340,69,1385
77, Saint-Étienne,fr Ligue 1,40,38.0,13803,17582,78.5,271870,93542,5690,6516,87.3,5620,6589,85.3,2198,3766,58.4,28,30.8,-2.8,331,868,250,87,1015
78, Sampdoria,it Serie A,27,38.0,13561,17627,76.9,268170,92801,5328,6181,86.2,5743,6828,84.1,2169,3809,56.9,37,30.0,+7.0,298,948,267,69,1196
79, Sassuolo,it Serie A,28,38.0,20547,23671,86.8,366715,108616,9298,10082,92.2,8624,9488,90.9,2204,3264,67.5,36,35.5,+0.5,378,1437,387,57,1428
80, Schalke 04,de Bundesliga,42,34.0,11269,14667,76.8,228703,78197,4114,4876,84.4,5087,5947,85.5,1862,3223,57.8,20,18.3,+1.7,217,655,185,30,890
81, Sevilla,es La Liga,26,38.0,19429,22824,85.1,390199,112525,7475,8177,91.4,8653,9562,90.5,3020,4429,68.2,36,34.8,+1.2,372,1320,358,121,1299
82, Sheffield Utd,eng Premier League,27,38.0,12057,15847,76.1,236409,83837,5271,6017,87.6,4718,5655,83.4,1830,3545,51.6,13,22.6,-9.6,245,959,268,64,988
83, Southampton,eng Premier League,29,38.0,14758,18761,78.7,268855,88714,6542,7441,87.9,6331,7330,86.4,1593,3207,49.7,33,27.4,+5.6,288,889,274,41,1087
84, Spezia,it Serie A,35,38.0,14953,18525,80.7,322730,94375,5098,5819,87.6,6428,7327,87.7,3186,4777,66.7,37,28.9,+7.1,265,1019,253,52,1098
85, Strasbourg,fr Ligue 1,26,38.0,13300,17085,77.8,291021,102109,4595,5378,85.4,5725,6647,86.1,2762,4421,62.5,26,30.0,-4.0,263,1001,259,101,1087
86, Stuttgart,de Bundesliga,29,34.0,14259,17721,80.5,272821,97283,5716,6528,87.6,6379,7321,87.1,1879,3145,59.7,42,38.1,+3.9,342,985,301,73,1271
87, Torino,it Serie A,29,38.0,13471,17077,78.9,267834,87881,5485,6190,88.6,5616,6561,85.6,2140,3711,57.7,28,32.5,-4.5,299,916,251,96,965
88, Tottenham,eng Premier League,24,38.0,16142,19871,81.2,308661,97611,6803,7664,88.8,6812,7803,87.3,2224,3688,60.3,50,35.5,+14.5,307,1081,279,60,1181
89, Udinese,it Serie A,33,38.0,14149,17467,81.0,273293,90615,5690,6447,88.3,6143,7040,87.3,2019,3281,61.5,30,27.3,+2.7,288,927,303,77,1160
90, Union Berlin,de Bundesliga,27,34.0,12041,15867,75.9,249391,87774,4451,5250,84.8,5188,6230,83.3,2183,3736,58.4,39,31.1,+7.9,283,801,205,85,995
91, Valencia,es La Liga,30,38.0,12953,16456,78.7,272791,93374,4709,5439,86.6,5729,6625,86.5,2309,3814,60.5,35,27.2,+7.8,266,962,252,72,1066
92, Valladolid,es La Liga,32,38.0,11179,15115,74.0,227532,81271,4520,5296,85.3,4524,5452,83.0,1909,3712,51.4,21,22.1,-1.1,251,844,210,77,882
93, Villarreal,es La Liga,29,38.0,17601,20981,83.9,349216,110193,6871,7685,89.4,7793,8696,89.6,2692,3910,68.8,33,40.5,-7.5,313,1226,378,90,1372
94, Werder Bremen,de Bundesliga,27,34.0,11769,15388,76.5,237260,86011,4561,5418,84.2,5158,6147,83.9,1894,3281,57.7,25,21.5,+3.5,246,805,204,77,976
95, West Brom,eng Premier League,30,38.0,9743,13646,71.4,196127,76867,4031,4760,84.7,3853,4857,79.3,1634,3451,47.3,20,21.2,-1.2,230,792,204,73,87496, West Ham,eng Premier League,24,38.0,12533,16360,76.6,248445,89919,5241,6072,86.3,5056,6056,83.5,2006,3589,55.9,46,36.8,+9.2,331,944,264,103,96797, Wolfsburg,de Bundesliga,26,34.0,13255,17140,77.3,284266,93118,4331,5249,82.5,6167,7271,84.8,2553,3980,64.1,48,37.6,+10.4,345,993,297,78,128698, Wolves,eng Premier League,27,38.0,15234,18662,81.6,304634,93806,5944,6639,89.5,6524,7431,87.8,2502,3877,64.5,21,26.4,-5.4,346,1031,216,80,1033
