,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Height,,,Body Parts,,,,Outcomes,,,,,
24, Crystal Palace,eng Premier League,24,38.0,15090,13268,1822,477,15,2428,290,345,151,62,49,18,9360,2129,3601,4030,8847,635,768,223,11391,65,254,385,450
25, Dijon,fr Ligue 1,33,38.0,17866,15934,1932,497,23,2375,492,319,146,66,68,6,12194,2259,3413,4569,11161,650,829,290,14134,50,334,417,431
26, Dortmund,de Bundesliga,26,34.0,22343,20783,1560,400,59,2769,622,400,173,67,71,2,17093,2421,2829,6541,13943,596,674,272,18983,58,298,474,452
27, Eibar,es La Liga,30,38.0,16701,14658,2043,517,13,2764,777,614,197,92,91,9,8692,2738,5271,4812,8700,1190,989,252,11903,62,536,343,464
28, Eint Frankfurt,de Bundesliga,25,34.0,18416,16687,1729,443,32,2859,420,510,206,65,75,18,12384,2329,3703,5767,10319,799,716,266,14409,61,293,432,478
29, Elche,es La Liga,30,38.0,16952,15113,1839,537,9,2625,523,415,137,59,51,2,11209,2102,3641,4870,10203,530,720,247,13601,48,296,347,396
30, Everton,eng Premier League,29,38.0,18248,16636,1612,429,31,2501,499,408,167,80,64,8,12346,2338,3564,5291,10909,668,660,242,14670,56,306,411,470
31, Fiorentina,it Serie A,30,38.0,17076,15156,1920,617,18,2135,591,469,168,30,101,18,11277,2230,3569,4228,10831,585,746,268,13589,54,255,302,456
32, Freiburg,de Bundesliga,24,34.0,15907,14247,1660,434,19,2419,487,444,123,54,42,8,9928,2401,3578,4947,8780,724,720,245,12336,47,276,302,454
33, Fulham,eng Premier League,28,38.0,18859,17094,1765,472,20,2281,510,490,164,55,69,20,12963,2187,3709,4101,12580,723,782,254,15183,39,314,384,478
34, Genoa,it Serie A,34,38.0,17793,16012,1781,524,24,2339,516,350,129,43,59,3,11691,2290,3812,4239,11481,720,703,251,14014,73,269,334,437
35, Getafe,es La Liga,31,38.0,13415,11354,2061,604,7,2117,559,537,143,57,38,13,6277,2380,4758,3721,6718,1038,971,136,9016,64,374,319,449
36, Granada,es La Liga,34,38.0,13166,11237,1929,514,20,2238,415,381,128,53,39,7,7041,2054,4071,3285,7498,741,868,162,9247,67,390,309,454
37, Hellas Verona,it Serie A,32,38.0,17708,15831,1877,586,20,2658,389,459,185,65,90,16,10736,2747,4225,6106,9236,847,720,192,13339,100,360,424,508
38, Hertha BSC,de Bundesliga,32,34.0,16027,14278,1749,465,20,2149,553,396,152,47,61,14,10533,2146,3348,4795,9202,641,754,237,12623,74,286,330,435
39, Hoffenheim,de Bundesliga,30,34.0,18016,16289,1727,516,24,2611,533,440,156,52,58,5,12113,2447,3456,3224,12666,729,743,276,14462,41,309,376,496
40, Huesca,es La Liga,27,38.0,17400,15464,1936,606,12,2654,616,502,156,53,61,4,11191,2330,3879,5652,9505,764,783,261,13636,96,384,313,453
41, Inter,it Serie A,25,38.0,21593,19987,1606,453,31,2921,568,481,206,61,79,12,15977,2746,2870,5262,14525,572,649,262,18514,54,203,450,442
42, Juventus,it Serie A,30,38.0,23047,21409,1638,494,41,2696,580,517,221,50,112,14,17623,2531,2893,7539,13843,519,580,285,19971,73,240,441,412
43, Köln,de Bundesliga,28,34.0,15705,13976,1729,497,16,2392,449,428,135,57,49,7,9720,2374,3611,5340,8216,716,752,217,12038,53,314,359,475
44, Lazio,it Serie A,30,38.0,20724,19083,1641,470,41,2707,586,466,189,97,51,14,14312,2803,3609,5751,12897,713,651,304,17098,79,270,413,417
45, Leeds United,eng Premier League,23,38.0,20042,18149,1893,468,48,2315,617,519,228,111,78,10,13397,2946,3699,8262,9487,755,808,377,15996,68,368,502,530
46, Leicester City,eng Premier League,27,38.0,20572,18857,1715,475,46,2545,467,390,212,57,80,16,14407,2550,3615,4236,14161,791,731,239,16726,58,334,472,475
47, Lens,fr Ligue 1,27,38.0,18909,17076,1833,494,27,2549,612,475,193,95,57,14,13248,2222,3439,5412,11336,688,785,219,15307,46,355,381,451
48, Levante,es La Liga,29,38.0,17794,15974,1820,509,29,2697,612,489,173,54,38,12,11808,2547,3439,4325,11514,604,765,293,14205,63,364,412,488
49, Leverkusen,de Bundesliga,30,34.0,21523,19893,1630,414,32,3004,581,427,183,60,70,9,15610,2625,3288,6603,12962,608,728,322,18002,60,246,412,467
50, Lille,fr Ligue 1,21,38.0,21792,20004,1788,461,47,2506,601,367,184,75,85,16,15765,2514,3513,7068,12486,705,843,296,18028,59,298,495,447
51, Liverpool,eng Premier League,28,38.0,25527,23768,1759,412,65,2960,732,571,255,53,131,17,18588,3048,3891,6175,17159,740,804,283,21527,60,266,486,563
52, Lorient,fr Ligue 1,27,38.0,17013,15143,1870,481,33,2467,466,353,176,66,68,19,11169,2396,3448,3831,11182,608,802,229,13403,44,386,422,398
53, Lyon,fr Ligue 1,29,38.0,21299,19445,1854,479,56,2705,537,515,232,49,86,14,15833,2351,3115,5034,14227,579,812,276,17819,56,289,481,483
54, M'Gladbach,de Bundesliga,23,34.0,18808,17129,1679,481,39,2615,466,336,175,51,90,19,13334,2332,3142,4369,12600,569,676,229,15337,72,221,423,453
55, Mainz 05,de Bundesliga,31,34.0,13642,11914,1728,428,23,2156,358,378,130,55,54,8,7907,2135,3600,3574,7807,671,805,305,9679,48,255,342,491
56, Manchester City,eng Premier League,24,38.0,26689,25124,1565,426,60,2966,629,438,247,65,85,18,21198,2444,3047,9400,15438,620,653,246,23578,50,257,406,458
57, Manchester Utd,eng Premier League,29,38.0,21960,20226,1734,434,52,2908,635,444,197,65,92,17,16585,2307,3068,6475,13619,576,755,222,18495,69,247,525,522
58, Marseille,fr Ligue 1,31,38.0,20480,18509,1971,576,33,2402,592,446,174,93,59,12,14144,2614,3722,5766,12469,694,841,280,16646,46,355,421,456
59, Metz,fr Ligue 1,27,38.0,16773,14996,1777,501,25,2357,594,431,160,44,68,10,11144,2111,3518,3033,11735,607,712,272,13269,44,356,332,369
60, Milan,it Serie A,29,38.0,19490,17804,1686,493,39,2312,527,430,213,101,68,10,14098,2135,3257,5759,11857,599,648,235,16046,83,261,409,408
61, Monaco,fr Ligue 1,30,38.0,21885,20003,1882,519,59,2748,648,469,218,92,85,15,15692,2397,3796,6323,13350,696,822,238,17905,63,345,408,442
62, Montpellier,fr Ligue 1,25,38.0,16555,14652,1903,484,27,2172,647,490,184,66,94,15,9997,2377,4181,3660,10513,713,810,359,12879,42,331,327,457
63, Nantes,fr Ligue 1,25,38.0,16380,14438,1942,569,22,2123,463,414,178,87,70,15,10465,2165,3750,4948,9083,785,844,221,12440,48,353,364,442
64, Napoli,it Serie A,25,38.0,22092,20254,1838,620,37,2723,668,470,220,76,59,15,16485,2636,2971,6913,13547,439,696,245,18947,67,240,454,426
65, Newcastle Utd,eng Premier League,27,38.0,14220,12438,1782,469,24,2177,456,400,160,60,62,17,8495,2044,3681,3910,8258,638,711,248,10617,49,276,333,422
66, Nice,fr Ligue 1,31,38.0,21525,19716,1809,492,27,2815,595,404,168,80,51,7,16422,2335,2768,5266,14485,484,757,256,18220,37,346,449,414
67, Nîmes,fr Ligue 1,34,38.0,16683,14614,2069,593,32,1925,644,389,161,68,59,17,10673,2411,3599,4397,10121,603,898,208,12874,46,376,365,409
68, Osasuna,es La Liga,28,38.0,14861,13014,1847,518,15,2508,596,510,117,42,48,8,7513,2462,4886,4197,7578,1118,826,193,10415,63,421,340,456
69, Paris S-G,fr Ligue 1,33,38.0,26067,24426,1641,459,92,2707,455,539,219,103,47,6,21349,2324,2394,9214,15233,474,669,266,23091,58,252,507,373
70, Parma,it Serie A,42,38.0,18327,16553,1774,545,27,2222,619,407,154,41,62,19,12152,2400,3775,5187,11122,607,653,289,14930,73,249,346,424
71, RB Leipzig,de Bundesliga,25,34.0,21371,19712,1659,476,55,3163,408,427,184,67,77,14,15152,2692,3527,4647,14376,765,761,319,17673,72,278,472,477
72, Real Madrid,es La Liga,30,38.0,24054,22266,1788,507,47,2760,915,577,225,65,66,18,17813,2903,3338,6318,15856,498,756,371,20825,74,321,360,536
73, Real Sociedad,es La Liga,30,38.0,18740,16885,1855,548,42,2699,451,467,196,78,76,17,12681,2469,3590,6730,9662,831,819,209,14976,79,342,360,498
74, Reims,fr Ligue 1,29,38.0,17171,15367,1804,457,23,2035,554,315,145,62,60,10,11703,2217,3251,5055,10252,509,759,243,13704,54,362,406,337
75, Rennes,fr Ligue 1,32,38.0,23827,21960,1867,527,36,2814,634,515,198,84,89,8,17818,2636,3373,7668,13904,749,804,277,20158,28,312,458,494
76, Roma,it Serie A,31,38.0,20471,18797,1674,558,46,2487,547,437,219,82,105,7,15026,2436,3009,3446,15343,496,577,293,17066,50,214,437,452
77, Saint-Étienne,fr Ligue 1,40,38.0,17582,15546,2036,528,22,2412,635,451,191,73,79,18,11614,2294,3674,4950,10261,724,946,260,13803,39,432,383,451
78, Sampdoria,it Serie A,27,38.0,17627,15712,1915,603,20,2506,562,505,197,71,74,18,10884,2637,4106,5639,9797,678,757,279,13561,53,273,397,488
79, Sassuolo,it Serie A,28,38.0,23671,21973,1698,552,32,2849,428,403,208,67,73,24,18739,2254,2678,7695,14424,438,571,254,20547,50,230,408,449
80, Schalke 04,de Bundesliga,42,34.0,14667,12920,1747,490,23,2127,393,245,124,34,73,10,9457,2124,3086,4241,8520,547,712,249,11269,62,288,364,433
81, Sevilla,es La Liga,26,38.0,22824,21045,1779,517,30,2832,943,555,167,33,59,8,16144,2712,3968,6083,14491,713,795,264,19429,60,370,363,415
82, Sheffield Utd,eng Premier League,27,38.0,15847,14196,1651,353,27,2235,470,438,170,90,39,23,9818,2151,3878,4856,8688,728,747,201,12057,60,324,307,393
83, Southampton,eng Premier League,29,38.0,18761,16940,1821,498,40,3011,384,315,177,81,79,10,12609,2201,3951,3610,12838,855,804,253,14758,65,295,412,470
84, Spezia,it Serie A,35,38.0,18525,16814,1711,658,28,2699,682,423,149,16,83,8,12380,2467,3678,5810,10886,599,592,278,14953,72,332,395,391
85, Strasbourg,fr Ligue 1,26,38.0,17085,15200,1885,456,27,2537,736,479,165,65,65,15,10380,2553,4152,5087,9650,662,872,267,13300,33,341,357,468
86, Stuttgart,de Bundesliga,29,34.0,17721,15993,1728,475,24,2605,432,382,155,46,65,26,12640,2087,2994,6187,9559,565,720,300,14259,49,266,432,491
87, Torino,it Serie A,29,38.0,17077,15169,1908,663,21,2333,666,489,170,38,102,8,11129,2089,3859,4671,10526,594,661,232,13471,51,272,315,407
88, Tottenham,eng Premier League,24,38.0,19871,18080,1791,525,45,2405,511,332,168,98,42,17,13781,2543,3547,5222,12430,776,749,228,16142,41,223,442,420
89, Udinese,it Serie A,33,38.0,17467,15702,1765,582,19,2335,450,468,163,49,74,9,12033,2334,3100,4195,11497,497,653,274,14149,71,246,414,426
90, Union Berlin,de Bundesliga,27,34.0,15867,14264,1603,425,22,2380,437,391,141,57,68,9,9677,2390,3800,4421,9095,857,725,247,12041,75,361,356,450
91, Valencia,es La Liga,30,38.0,16456,14608,1848,589,21,2394,623,395,163,54,53,8,10480,2404,3572,3726,10656,673,667,251,12953,79,334,330,427
92, Valladolid,es La Liga,32,38.0,15115,13178,1937,580,19,2359,549,480,141,45,40,7,8741,2216,4158,4015,8798,772,793,230,11179,62,369,333,461
93, Villarreal,es La Liga,29,38.0,20981,19182,1799,540,51,2927,604,466,160,56,34,2,15265,2545,3171,7186,11794,642,712,295,17601,80,309,375,476
94, Werder Bremen,de Bundesliga,27,34.0,15388,13650,1738,544,13,2279,449,315,116,32,59,10,9519,2182,3687,4287,8931,717,707,269,11769,57,278,392,412
95, West Brom,eng Premier League,30,38.0,13646,11883,1763,470,24,2092,394,404,144,68,28,17,7571,1915,4160,3254,8007,797,728,254,9743,62,337,317,39296, West Ham,eng Premier League,24,38.0,16360,14672,1688,405,21,2338,469,500,167,81,65,9,10183,2243,3934,4548,9559,730,737,221,12533,69,291,377,43797, Wolfsburg,de Bundesliga,26,34.0,17140,15477,1663,433,25,2528,529,428,176,84,59,1,11039,2458,3643,7450,7428,808,763,255,13255,67,308,402,49598, Wolves,eng Premier League,27,38.0,18662,16908,1754,452,32,2506,590,501,208,59,72,10,12249,2783,3630,5203,11391,663,731,238,15234,34,292,357,446
