,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,
82, Sheffield Utd,eng Premier League,27,38.0,669,368,346,252,71,248,713,34.8,465,6123,1518,24.8,2080,2631,1412,630,165,9,465,440,1109,1015,19
83, Southampton,eng Premier League,29,38.0,784,455,380,319,85,296,747,39.6,451,5714,1783,31.2,1970,2500,1244,624,111,1,513,435,1219,855,10
84, Spezia,it Serie A,35,38.0,607,385,276,251,80,206,540,38.1,334,5177,1552,30.0,1524,2402,1251,499,100,2,399,438,1045,701,15
85, Strasbourg,fr Ligue 1,26,38.0,719,472,370,259,90,214,585,36.6,371,5307,1665,31.4,1850,2374,1083,516,95,5,421,512,1231,821,11
86, Stuttgart,de Bundesliga,29,34.0,570,350,288,207,75,205,555,36.9,350,4667,1442,30.9,1539,1923,1205,601,129,3,472,382,952,777,6
87, Torino,it Serie A,29,38.0,595,377,284,224,87,215,577,37.3,362,5180,1495,28.9,1789,2256,1135,554,134,5,420,493,1088,882,12
88, Tottenham,eng Premier League,24,38.0,694,425,349,261,84,257,689,37.3,432,5871,1643,28.0,2124,2563,1184,582,160,2,422,370,1064,1010,4
89, Udinese,it Serie A,33,38.0,593,383,325,214,54,208,580,35.9,372,5084,1455,28.6,2032,1996,1056,619,155,1,464,399,992,784,15
90, Union Berlin,de Bundesliga,27,34.0,585,349,298,230,57,189,502,37.6,313,4970,1580,31.8,1641,2370,959,529,104,2,425,428,1013,775,9
91, Valencia,es La Liga,30,38.0,508,312,259,183,66,187,574,32.6,387,4857,1305,26.9,1794,2068,995,566,137,2,429,321,829,951,14
92, Valladolid,es La Liga,32,38.0,607,376,338,202,67,220,669,32.9,449,5839,1624,27.8,2051,2600,1188,601,117,2,484,390,997,989,8
93, Villarreal,es La Liga,29,38.0,566,340,253,242,71,177,580,30.5,403,4994,1425,28.5,1587,2226,1181,578,117,3,461,354,920,777,8
94, Werder Bremen,de Bundesliga,27,34.0,608,375,306,223,79,197,573,34.4,376,5537,1585,28.6,1949,2431,1157,609,113,0,496,477,1085,954,6
95, West Brom,eng Premier League,30,38.0,662,398,365,226,71,227,650,34.9,423,5494,1530,27.8,2120,2269,1105,679,172,9,507,447,1109,1025,12
96, West Ham,eng Premier League,24,38.0,559,346,308,197,54,190,614,30.9,424,4989,1342,26.9,1882,2133,974,603,143,4,460,426,985,988,9
97, Wolfsburg,de Bundesliga,26,34.0,710,430,336,296,78,240,626,38.3,386,5829,1939,33.3,1707,2617,1505,622,96,3,526,461,1171,891,9
98, Wolves,eng Premier League,27,38.0,618,398,351,204,63,228,621,36.7,393,5195,1558,30.0,2105,2187,903,539,133,5,406,388,1006,898,6
